,recom,times
0,-1.0,0
1,-30.560000000000002,101
2,-0.6,17
3,-0.6,19
4,-1.1199999999999999,29
5,-0.6,13
6,-1.0,5
7,-0.7500000000000002,33
8,-1.0,7
9,-0.9400000000000002,31
10,-1.9100000000000004,37
11,-1.8699999999999999,40
12,-1.01,20
13,-3.3099999999999996,40
14,-1.01,20
15,-3.05,46
16,-0.22999999999999998,21
17,-0.6,10
18,-0.63,21
19,-1.0,5
20,-1.6099999999999999,33
21,-1.0,3
22,-1.0,11
23,-4.6499999999999995,49
24,-1.81,39
25,-1.98,38
26,-6.21,63
27,-4.489999999999999,59
28,-1.0,2
29,-1.0,14
30,-1.9100000000000004,37
31,-9.28,62
32,-0.6500000000000002,28
33,-0.41000000000000014,25
34,-1.0,3
35,-3.9899999999999998,51
36,-1.0,16
37,-5.93,55
38,-1.7400000000000002,34
39,0.3700000000000001,26
40,-3.2300000000000004,47
41,-0.02000000000000024,45
42,-1.0,6
43,-1.0,5
44,-3.66,45
45,-0.5299999999999999,31
46,0.5299999999999998,42
47,-1.0,8
48,-0.6,16
49,-1.0,15
50,-2.04,44
51,-1.0,16
52,-1.3599999999999999,49
53,-2.1099999999999994,53
54,-0.16000000000000014,43
55,-3.9700000000000006,57
56,-0.22999999999999998,21
57,0.2699999999999998,39
58,2.3699999999999997,30
59,-1.0,4
60,1.6699999999999995,36
61,-13.780000000000001,78
62,0.09000000000000019,42
63,-1.0,2
64,1.6199999999999999,34
65,-1.0,13
66,-5.699999999999999,59
67,-3.8899999999999997,58
68,-4.8999999999999995,60
69,0.32999999999999974,41
70,-6.409999999999999,58
71,-1.15,29
72,1.4999999999999998,37
73,-0.2400000000000002,44
74,1.04,40
75,0.1699999999999997,44
76,-0.6,15
77,-0.6,17
78,2.11,33
79,-2.5599999999999996,54
80,1.3599999999999994,35
81,1.5999999999999996,33
82,0.9499999999999997,38
83,-2.9699999999999998,56
84,1.4699999999999998,37
85,2.29,27
86,2.7199999999999998,26
87,-0.19999999999999996,14
88,-0.2200000000000002,46
89,2.5200000000000005,23
90,-1.0,12
91,-1.4000000000000004,34
92,0.07000000000000017,45
93,-0.6,7
94,-0.20999999999999996,20
95,-4.869999999999999,54
96,0.08999999999999986,44
97,1.6400000000000001,34
98,0.81,25
99,-23.47,95
