,recom,times
0,1.9699999999999995,67
1,-1.06,6
2,-1.09,9
3,2.4499999999999993,60
4,2.62,43
5,2.34,71
6,2.26,38
7,2.6,45
8,2.32,32
9,2.65,40
10,2.5199999999999996,53
11,2.53,52
12,-0.6799999999999999,9
13,1.8099999999999996,42
14,2.7199999999999998,33
15,2.59,46
16,2.6799999999999997,37
17,2.76,29
18,2.54,51
19,2.4299999999999997,62
20,2.71,34
21,2.41,23
22,2.4399999999999995,61
23,2.75,30
24,2.1099999999999994,94
25,2.72,33
26,2.6199999999999997,43
27,2.3899999999999997,25
28,2.59,46
29,2.37,27
30,2.8200000000000003,23
31,2.79,26
32,2.7800000000000002,27
33,2.81,24
34,2.8,25
35,2.45,19
36,2.8099999999999996,24
37,2.77,28
38,2.6900000000000004,36
39,2.7699999999999996,28
40,2.8099999999999996,24
41,2.8099999999999996,24
42,2.7800000000000002,27
43,2.8200000000000003,23
44,2.8200000000000003,23
45,2.84,21
46,2.7800000000000002,27
47,2.79,26
48,2.8200000000000003,23
49,2.85,20
50,2.7899999999999996,26
51,2.84,21
52,2.66,39
53,2.82,23
54,2.7800000000000002,27
55,2.6999999999999997,35
56,2.71,34
57,2.5,55
58,2.79,26
59,2.79,26
60,2.57,48
61,2.79,26
62,2.79,26
63,2.37,27
64,2.74,31
65,2.83,22
66,2.79,26
67,2.8200000000000003,23
68,2.83,22
69,2.8099999999999996,24
70,2.8200000000000003,23
71,2.8299999999999996,22
72,1.65,58
73,2.43,21
74,2.27,37
75,2.82,23
76,2.7,35
77,2.48,16
78,2.09,14
79,2.6899999999999995,36
80,2.79,26
81,2.4699999999999998,58
82,2.8200000000000003,23
83,2.78,27
84,2.7299999999999995,32
85,2.39,25
86,2.4699999999999998,17
87,2.4399999999999995,20
88,2.8,25
89,2.83,22
90,2.8,25
91,2.51,54
92,2.78,27
93,2.6100000000000003,44
94,2.7399999999999993,31
95,2.7699999999999996,28
96,2.0,23
97,2.3899999999999997,25
98,2.8200000000000003,23
99,2.83,22
100,2.0799999999999996,56
