,recom,times
0,1.4,15
1,-1.0,11
2,-1.0,9
3,-0.6,19
4,-1.0,16
5,-0.6,16
6,-1.0,9
7,-0.6,13
8,-4.659999999999999,49
9,-0.22999999999999998,21
10,-0.63,21
11,-1.62,36
12,-1.0,11
13,-0.6,8
14,-12.23,69
15,-0.6,14
16,-10.8,67
17,-1.0,9
18,-1.0,12
19,-1.0,5
20,-0.6,17
21,-1.0,3
22,-3.7199999999999998,54
23,-1.6500000000000001,43
24,-1.0,7
25,-1.9500000000000002,42
26,-14.979999999999999,76
27,-1.46,46
28,-0.6,14
29,1.5699999999999998,33
30,-1.0,2
31,-8.970000000000002,68
32,-2.3099999999999996,42
33,-1.0,4
34,1.6399999999999997,36
35,-1.0,15
36,-0.3500000000000001,24
37,-1.0,8
38,0.6499999999999998,41
39,-6.96,65
40,-0.6,18
41,-6.739999999999999,59
42,-1.0,14
43,-0.7,23
44,-0.35,29
45,-5.08,53
46,-1.0,6
47,2.75,26
48,-5.949999999999999,62
49,-1.0,11
50,0.2899999999999996,43
51,-0.38000000000000056,45
52,-6.840000000000001,64
53,1.5999999999999999,30
54,-2.4699999999999998,53
55,2.46,24
56,-2.1100000000000003,51
57,0.8199999999999998,36
58,2.07,34
59,-7.8100000000000005,66
60,0.7599999999999998,41
61,-1.0,5
62,-7.830000000000002,66
63,-1.1899999999999995,49
64,-1.4000000000000004,34
65,-0.19999999999999996,19
66,1.2599999999999998,39
67,1.9299999999999997,34
68,0.81,41
69,0.10000000000000009,23
70,2.23,32
71,-7.6899999999999995,65
72,2.62,28
73,-3.4699999999999998,56
74,2.84,25
75,1.1800000000000002,34
76,0.019999999999999796,45
77,0.5700000000000001,21
78,-0.6,8
79,1.8699999999999997,35
80,-0.26,22
81,-0.42000000000000015,33
82,-3.0200000000000005,55
83,1.96,31
84,1.1299999999999997,34
85,0.6599999999999998,41
86,-1.1800000000000002,50
87,-0.050000000000000266,26
88,-2.0,51
89,-5.38,61
90,-1.83,51
91,-6.41,63
92,2.8200000000000003,25
93,-1.0,3
94,2.59,20
95,0.7199999999999995,41
96,2.91,23
97,2.5299999999999994,29
98,2.4800000000000004,24
99,1.7999999999999994,34
100,0.36999999999999955,42
101,-0.6,5
102,2.07,33
103,2.2199999999999998,32
104,-4.8,58
105,-0.27,46
106,1.1299999999999994,38
107,1.75,28
108,0.20000000000000018,18
109,2.88,24
110,2.59,20
111,2.59,20
112,-0.20999999999999996,45
113,-6.169999999999999,63
114,1.5999999999999999,37
115,2.4800000000000004,24
116,2.3899999999999997,30
117,2.79,26
118,-1.6700000000000004,50
119,2.8200000000000003,25
120,2.5199999999999996,30
121,-0.78,47
122,1.8499999999999996,34
123,1.6799999999999997,36
124,2.1999999999999997,32
125,2.83,25
126,2.17,21
127,-0.48,34
128,-0.42999999999999994,47
129,2.5299999999999994,29
130,2.4299999999999997,25
131,0.7799999999999995,40
132,0.19999999999999962,43
133,-3.1899999999999995,53
134,1.94,35
135,-10.27,73
136,0.6399999999999997,42
137,-0.22000000000000064,45
138,2.6199999999999997,28
139,-0.5999999999999999,47
140,2.04,33
141,-3.3999999999999995,58
142,2.0599999999999996,30
143,2.9,23
144,2.4599999999999995,30
145,2.6,18
146,-1.2400000000000002,48
147,-0.6,5
148,2.95,22
149,2.3,27
150,1.6999999999999995,36
151,1.0,17
152,2.44,31
153,2.62,28
154,0.5799999999999997,40
155,-1.0799999999999996,50
156,2.6,18
157,2.9,23
158,1.7199999999999998,37
159,2.79,26
160,2.8499999999999996,24
161,2.4299999999999997,25
162,2.5700000000000003,21
163,2.95,22
164,2.5999999999999996,28
165,-0.41000000000000014,26
166,1.4699999999999998,35
167,2.09,30
168,2.66,27
169,0.16000000000000014,44
170,0.20000000000000018,17
171,2.6,19
172,2.6,19
173,2.84,25
174,2.6500000000000004,28
175,-0.7500000000000002,48
176,2.95,22
177,0.69,27
178,2.7699999999999996,26
179,2.92,23
180,2.8499999999999996,24
181,2.37,26
182,2.11,32
183,2.6,19
184,2.9,23
185,2.0999999999999996,32
186,1.6999999999999997,36
187,2.2,17
188,2.59,20
189,2.63,28
190,2.99,20
191,3.0,19
192,2.5200000000000005,23
193,2.88,24
194,0.5099999999999998,43
195,2.99,20
196,2.5200000000000005,23
197,2.59,20
198,2.59,20
199,2.58,29
200,2.99,20
201,3.0,19
202,2.94,22
203,1.88,35
204,2.2,17
205,3.0,18
206,-0.02000000000000024,42
207,2.9699999999999998,21
208,-1.17,30
209,2.6,18
210,1.19,39
211,2.5599999999999996,29
212,2.9699999999999998,21
213,-1.58,51
214,1.8299999999999996,36
215,2.7699999999999996,26
216,2.99,20
217,3.0,19
218,2.95,22
219,2.84,25
220,2.95,22
221,2.67,28
222,2.95,22
223,2.4400000000000004,25
224,0.8300000000000001,41
225,2.7699999999999996,26
226,2.9699999999999998,21
227,2.84,25
