,recom,times
0,-1.05,5
1,-0.6,42
2,-0.7,11
3,-0.7,11
4,-0.68,9
5,-0.18,41
6,-0.45,27
7,-1.06,6
8,-0.85,26
9,-0.39,21
10,-0.77,18
11,-0.72,13
12,0.16,48
13,2.1,54
14,-0.72,13
15,-0.46,28
16,-0.8,21
17,-0.97,38
18,-1.12,12
19,-0.77,18
20,-0.51,33
21,2.64,41
22,0.07,57
23,2.37,68
24,-1.09,9
25,-0.51,33
26,-0.78,19
27,-0.76,17
28,-1.04,4
29,-0.51,33
30,-1.13,13
31,-1.05,5
32,-0.7,11
33,-0.06,29
34,-1.06,6
35,-1.06,6
36,-1.18,18
37,-0.47,29
38,-1.07,7
39,0.48,57
40,-1.02,2
41,2.67,38
42,2.39,25
43,2.45,60
44,-1.15,15
45,-0.67,49
46,0.03,20
47,2.42,63
48,-0.12,35
49,-0.42,24
50,2.68,37
51,2.33,31
52,2.4,24
53,2.68,37
54,-0.76,17
55,1.97,26
56,0.79,26
57,2.72,33
58,2.65,40
59,0.1,13
60,2.02,62
61,2.56,49
62,2.49,56
63,-1.07,7
64,-0.34,16
65,-0.76,17
66,2.41,23
67,0.69,36
68,1.66,57
69,-0.16,39
70,2.7,35
71,2.64,41
72,2.52,53
73,2.51,54
74,2.75,30
75,2.64,41
76,2.81,24
77,-0.12,35
78,2.83,22
79,2.7,35
80,-1.02,2
81,2.85,20
82,2.78,27
83,2.3,34
84,-0.61,43
85,-1.1,10
86,2.85,20
87,2.44,61
88,2.37,27
89,2.69,36
90,2.72,33
91,2.72,33
92,2.29,76
93,2.76,29
94,2.32,32
95,-0.34,16
96,2.5,55
97,-1.07,7
98,2.73,32
99,2.8,25
100,2.61,44
101,2.75,30
102,-0.02,25
103,2.66,39
104,2.35,29
105,2.43,21
106,2.64,41
107,2.34,30
108,2.72,33
109,2.27,37
110,2.77,28
111,-0.6,42
112,2.58,47
113,2.37,27
114,2.85,20
115,2.4,24
116,2.32,73
117,2.65,40
118,-0.66,7
119,2.77,28
120,2.73,32
121,2.03,20
122,2.86,19
123,2.58,47
124,2.71,34
125,2.52,53
126,2.68,37
127,2.5,55
128,2.01,22
129,-0.33,15
130,2.36,28
131,2.86,19
132,2.83,22
133,2.81,24
134,-0.65,6
135,2.8,25
136,2.81,24
137,2.47,17
138,2.47,58
139,1.97,26
140,2.36,28
141,2.85,20
142,2.7,35
143,1.74,30
144,2.79,26
145,0.25,39
146,2.77,28
147,1.85,19
148,2.66,39
149,0.07,16
150,2.64,41
151,2.65,40
152,2.25,39
153,2.8,25
154,2.77,28
155,0.08,15
156,2.85,20
157,2.55,50
158,2.83,22
159,2.49,15
160,2.81,24
161,2.62,43
162,-0.04,27
163,2.77,28
164,2.52,53
165,2.82,23
166,2.66,39
167,2.12,52
168,2.83,22
169,2.75,30
170,2.82,23
171,2.38,26
172,2.75,30
173,2.84,21
174,2.45,19
175,2.68,37
176,2.46,18
177,2.47,58
178,2.31,33
179,2.77,28
180,2.69,36
181,2.85,20
182,2.46,18
183,1.57,107
184,2.68,37
185,2.63,42
186,2.86,19
187,1.22,60
188,2.11,53
189,2.71,34
190,2.49,15
191,2.85,20
192,2.76,29
193,2.81,24
194,2.75,30
195,1.85,38
196,2.72,33
197,2.8,25
198,2.8,25
199,2.29,35
200,2.82,23
201,2.34,30
202,2.29,35
203,2.54,51
204,2.74,31
205,2.82,23
206,2.44,20
207,2.25,39
208,2.83,22
209,1.72,10
210,2.77,28
211,2.8,25
212,2.78,27
213,2.84,21
214,2.8,25
215,2.82,23
216,2.78,27
217,2.48,16
218,2.76,29
219,2.85,20
220,2.44,20
221,2.45,19
222,2.79,26
223,2.4,24
224,2.69,36
225,2.87,18
226,2.77,28
227,2.49,15
228,2.86,19
229,2.77,28
230,2.86,19
231,2.78,27
232,2.8,25
233,2.79,26
234,2.75,30
235,2.71,34
236,2.84,21
237,2.77,28
238,2.84,21
239,2.84,21
240,2.87,18
241,2.81,24
242,2.45,19
243,2.83,22
244,2.86,19
245,2.83,22
246,2.07,16
247,2.66,39
248,2.85,20
249,2.66,39
250,2.85,20
251,2.32,32
252,2.66,39
253,2.43,21
254,2.86,19
255,2.52,53
256,2.83,22
257,2.55,50
258,2.83,22
259,2.84,21
260,2.84,21
261,2.83,22
262,2.83,22
263,2.85,20
264,2.37,27
265,2.84,21
266,2.33,31
267,-1.13,13
268,2.62,43
269,2.79,26
270,2.82,23
271,2.87,18
272,2.85,20
273,2.81,24
274,2.79,26
275,2.37,27
276,2.83,22
277,2.82,23
278,2.86,19
279,2.77,28
280,2.83,22
281,2.86,19
282,2.86,19
283,2.39,25
284,2.83,22
285,2.45,19
286,2.62,43
287,2.74,31
288,2.43,62
289,2.48,16
290,2.75,30
291,2.82,23
292,2.84,21
293,2.86,19
294,2.7,35
295,2.82,23
296,2.86,19
297,2.76,29
298,2.81,24
299,2.09,14
300,2.83,22
301,2.85,20
302,2.38,26
303,2.63,42
304,2.68,37
305,2.84,21
306,2.87,18
307,2.75,30
308,2.83,22
309,2.71,34
310,2.82,23
311,2.85,20
312,2.81,24
313,2.35,29
314,2.7,35
315,2.79,26
316,2.48,16
317,2.82,23
318,2.86,19
319,2.86,19
320,2.42,22
321,2.87,18
322,2.8,25
323,2.48,16
324,2.81,24
325,2.8,25
326,2.4,24
327,2.78,27
328,2.87,18
329,2.87,18
330,2.57,48
331,2.72,33
332,2.84,21
333,2.82,23
334,2.87,18
335,2.46,18
336,2.86,19
337,2.86,19
338,2.87,18
339,2.8,25
340,2.84,21
341,2.87,18
342,2.75,30
343,2.61,44
344,2.28,36
345,2.49,56
346,2.88,17
347,2.73,32
348,2.33,31
349,2.82,23
350,2.8,25
