,recom,times
0,-1.03,3
1,-0.68,9
2,-1.17,17
3,-0.5300000000000001,35
4,-1.04,4
5,-0.5600000000000002,38
6,-1.09,9
7,-0.8500000000000001,26
8,-0.42000000000000015,24
9,-0.28,10
10,-1.07,7
11,-0.28000000000000025,51
12,-0.9,31
13,-0.3400000000000001,16
14,0.4899999999999993,56
15,-0.77,18
16,-0.42000000000000015,24
17,2.4099999999999993,64
18,-0.78,19
19,-0.74,15
20,-0.7000000000000001,11
21,0.019999999999999574,62
22,2.579999999999999,47
23,-0.7000000000000001,11
24,2.63,42
25,2.0999999999999996,54
26,-0.3400000000000004,57
27,-1.05,5
28,-0.16000000000000014,39
29,2.6399999999999997,41
30,-0.4600000000000002,28
31,-0.1000000000000002,33
32,2.65,40
33,2.07,57
34,-0.74,15
35,2.38,26
36,2.28,36
37,1.6099999999999994,62
38,1.7499999999999996,48
39,-0.03000000000000025,26
40,0.040000000000000036,19
41,-1.07,7
42,-0.3400000000000001,16
43,-0.8600000000000001,27
44,2.1899999999999995,45
45,1.4599999999999997,36
46,0.35999999999999965,28
47,-1.05,5
48,2.74,31
49,-0.68,9
50,-0.73,14
51,-0.44000000000000017,26
52,2.5999999999999996,45
53,2.7,35
54,-0.4700000000000001,29
55,2.7699999999999996,28
56,2.7399999999999998,31
57,2.8,25
58,2.6899999999999995,36
59,-0.030000000000000027,26
60,0.5899999999999999,46
61,0.009999999999999787,22
62,2.27,37
63,-0.31000000000000005,13
64,2.7199999999999998,33
65,0.24999999999999978,39
66,-0.92,33
67,-0.4700000000000002,29
68,-1.1099999999999999,11
69,2.42,22
70,2.3499999999999996,29
71,0.32000000000000006,32
72,2.5,55
73,2.71,34
74,1.6099999999999999,21
75,-0.33000000000000007,15
76,-1.07,7
77,-1.07,7
78,2.6799999999999997,37
79,-1.05,5
80,-0.31000000000000005,13
81,2.7,35
82,2.69,36
83,2.26,38
84,2.5999999999999996,45
85,-0.32000000000000006,14
86,0.3800000000000001,26
87,2.6799999999999997,37
88,2.6899999999999995,36
89,1.97,26
90,2.77,28
91,2.7,35
92,2.4699999999999998,17
93,2.78,27
94,2.6099999999999994,44
95,2.28,36
96,2.2399999999999993,40
97,2.4799999999999995,57
98,2.3999999999999995,24
99,2.4699999999999998,17
100,2.79,26
101,2.7299999999999995,32
102,2.64,41
103,2.67,38
104,2.7700000000000005,28
105,2.7399999999999998,31
