,recom,times
0,-0.9,31
1,-0.09000000000000019,32
2,-1.05,5
3,-0.76,17
4,2.21,84
5,-0.17000000000000015,40
6,-0.6600000000000001,48
7,2.2199999999999998,42
8,-1.1099999999999999,11
9,2.0799999999999996,56
10,2.55,50
11,-0.7,11
12,-0.56,38
13,-0.6799999999999999,9
14,-1.04,4
15,2.4599999999999995,59
16,-0.5100000000000001,33
17,-1.17,17
18,-1.03,3
19,0.020000000000000018,21
20,-0.73,14
21,-0.3700000000000001,19
22,-0.73,14
23,-0.72,13
24,2.3899999999999997,66
25,1.5,32
26,-0.8,21
27,1.89,34
28,0.6099999999999999,44
29,-1.05,5
30,2.59,46
31,-0.33000000000000007,15
32,2.53,52
33,-1.06,6
34,2.54,51
35,2.3,34
36,2.6,45
37,-0.5200000000000001,34
38,2.21,43
39,1.91,32
40,0.5799999999999998,47
41,2.2299999999999995,41
42,2.0700000000000003,16
43,2.4999999999999996,55
44,-0.67,8
45,0.41000000000000014,23
46,-1.1199999999999999,12
47,0.2899999999999998,35
48,2.69,36
49,-0.72,13
50,2.65,40
51,-0.6799999999999999,9
52,-1.02,2
53,0.34999999999999987,29
54,2.66,39
55,-0.4,22
56,2.6099999999999994,44
57,2.71,34
58,2.63,42
59,-0.30000000000000004,12
60,2.78,27
61,-1.06,6
62,2.3999999999999995,65
63,2.6799999999999997,37
64,2.25,39
65,2.33,31
66,-0.6799999999999999,9
67,2.6799999999999997,37
68,2.6399999999999997,41
69,-0.31000000000000005,13
70,1.93,30
71,2.69,36
72,2.6900000000000004,36
73,0.020000000000000018,21
74,2.8,25
75,-0.3700000000000001,19
76,2.73,32
77,-0.07000000000000017,30
78,2.71,34
79,2.7199999999999998,33
80,0.2999999999999998,34
81,-0.3700000000000001,19
82,2.6599999999999993,39
83,-0.71,12
84,2.6899999999999995,36
85,2.7699999999999996,28
86,2.3099999999999996,33
87,2.6299999999999994,42
88,0.050000000000000044,18
89,2.5199999999999996,53
90,-0.36,18
91,2.7699999999999996,28
92,2.5699999999999994,48
93,2.3899999999999997,25
94,2.71,34
95,2.29,35
96,2.4099999999999993,64
97,0.4099999999999999,23
98,2.6399999999999997,41
99,2.7199999999999998,33
100,2.5599999999999996,49
101,2.8099999999999996,24
102,1.92,31
103,-0.71,12
104,2.86,19
105,2.55,50
106,2.6399999999999997,41
107,-0.28,10
108,2.7600000000000002,29
109,2.42,22
110,2.2399999999999993,81
111,2.7,35
112,2.7700000000000005,28
113,2.73,32
114,2.8,25
115,-0.56,38
116,2.8099999999999996,24
117,2.7299999999999995,32
118,-0.3700000000000001,19
119,2.7199999999999998,33
120,2.7099999999999995,34
121,2.8099999999999996,24
122,2.76,29
123,2.77,28
124,1.8599999999999999,37
125,2.7699999999999996,28
126,2.3099999999999996,33
127,2.46,18
128,2.75,30
129,2.3499999999999996,29
130,2.81,24
131,2.79,26
132,2.7800000000000002,27
