,recom,times
0,-0.01,0
1,-0.78,19
2,-0.6000000000000001,42
3,-0.7,11
4,-1.07,7
5,-1.08,8
6,0.13999999999999968,91
7,-1.03,3
8,-0.1000000000000002,33
9,-0.77,18
10,0.1699999999999997,47
11,-1.06,6
12,-1.03,3
13,-1.14,14
14,-0.74,15
15,-1.04,4
16,-1.1199999999999999,12
17,1.4699999999999998,35
18,2.3199999999999994,73
19,-0.040000000000000036,27
20,-1.09,9
21,2.6900000000000004,36
22,-1.08,8
23,-0.6100000000000001,43
24,-1.07,7
25,2.3599999999999994,69
26,-1.03,3
27,-0.5800000000000001,40
28,2.66,39
29,-0.5200000000000001,34
30,0.34999999999999987,29
31,2.4699999999999998,58
32,2.3699999999999997,27
33,2.0199999999999996,62
34,2.42,22
35,-0.4500000000000002,27
36,2.28,36
37,2.46,59
38,-1.08,8
39,-0.73,14
40,0.3699999999999999,27
41,2.57,48
42,0.020000000000000018,21
43,2.5299999999999994,52
44,-1.08,8
45,0.2799999999999998,36
46,0.16999999999999993,47
47,1.9299999999999997,30
48,2.74,31
49,-0.6900000000000001,10
50,1.89,34
51,-0.73,14
52,2.67,38
53,1.8499999999999996,38
54,-0.32000000000000006,14
55,0.6499999999999999,40
56,2.61,44
57,1.96,27
58,2.6599999999999997,39
59,2.76,29
60,2.3600000000000003,28
61,1.6699999999999995,56
62,-0.41000000000000014,23
63,-0.77,18
64,2.7699999999999996,28
65,-0.02000000000000013,25
66,-0.33000000000000007,15
67,-0.75,16
68,2.29,35
69,2.2399999999999998,40
70,0.0,23
71,1.94,29
72,2.5599999999999996,49
73,2.6999999999999997,35
74,2.7799999999999994,27
75,-1.04,4
76,2.64,41
77,2.71,34
78,0.5799999999999998,47
79,2.76,29
80,2.37,27
81,2.5,14
82,2.35,29
83,2.75,30
84,2.36,28
85,-0.6699999999999999,8
86,2.59,46
87,2.29,35
88,2.6199999999999997,43
89,-1.04,4
90,-0.33000000000000007,15
91,2.8,25
92,2.76,29
93,0.020000000000000018,21
94,2.2199999999999998,42
95,2.1399999999999997,50
96,2.3600000000000003,28
97,2.76,29
98,2.6499999999999995,40
99,-1.05,5
100,2.6999999999999997,35
101,0.1699999999999997,47
102,2.77,28
103,-0.13000000000000012,36
104,2.34,30
105,2.67,38
106,2.74,31
107,2.83,22
108,2.4799999999999995,16
109,2.72,33
110,2.1899999999999995,45
111,2.7099999999999995,34
112,2.7299999999999995,32
113,2.6499999999999995,40
114,-1.02,2
115,-1.02,2
116,2.7199999999999998,33
117,2.6899999999999995,36
118,-0.33000000000000007,15
119,2.4,24
120,2.46,18
121,2.5799999999999996,47
122,2.33,31
123,2.8299999999999996,22
124,2.42,22
125,2.8099999999999996,24
126,2.7299999999999995,32
127,2.3200000000000003,32
128,2.8199999999999994,23
129,-0.4400000000000004,67
130,2.5799999999999996,47
131,2.51,54
132,2.4399999999999995,61
133,2.8,25
134,2.79,26
135,2.38,26
136,0.3900000000000001,25
137,2.6099999999999994,44
138,2.4,24
139,2.3899999999999997,25
140,2.44,20
141,2.8,25
142,2.84,21
143,2.73,32
144,2.8099999999999996,24
145,1.9099999999999997,32
146,2.84,21
147,2.3699999999999997,27
148,2.32,32
149,2.3899999999999997,25
150,2.7699999999999996,28
151,0.030000000000000027,20
152,0.009999999999999787,22
153,-1.1199999999999999,12
154,2.8400000000000003,21
155,2.8199999999999994,23
156,2.2800000000000002,36
157,2.4699999999999998,58
158,2.76,29
159,2.75,30
160,-0.68,9
161,2.4299999999999997,21
162,2.1799999999999997,87
163,2.4,24
164,2.08,15
165,2.5599999999999996,49
166,2.46,18
167,1.8699999999999997,36
168,2.45,19
169,2.82,23
170,2.83,22
171,2.7,35
172,2.76,29
173,2.6399999999999997,41
174,-0.65,6
175,2.82,23
176,2.78,27
177,2.8,25
178,2.85,20
179,-0.69,10
180,2.84,21
181,2.37,27
182,2.4299999999999997,21
183,0.45999999999999996,18
184,2.75,30
185,2.4299999999999997,62
186,2.079999999999999,97
187,2.76,29
188,2.71,34
189,2.78,27
190,2.73,32
191,2.82,23
192,2.8699999999999997,18
193,2.08,15
194,2.01,63
195,2.4699999999999998,17
196,2.84,21
197,2.7699999999999996,28
198,2.63,42
199,2.41,23
200,1.7,12
201,2.79,26
202,2.41,23
203,2.8699999999999997,18
204,2.7,35
205,2.69,36
206,2.6499999999999995,40
207,2.6199999999999997,43
208,2.76,29
209,2.83,22
210,2.6399999999999997,41
211,2.1999999999999993,85
212,2.59,46
213,1.8599999999999999,37
214,2.8,25
215,2.69,36
216,2.1899999999999995,45
217,2.7399999999999993,31
218,2.79,26
219,2.76,29
220,2.87,18
221,2.84,21
222,2.7800000000000002,27
223,2.81,24
224,2.09,55
225,2.7800000000000002,27
226,2.8299999999999996,22
227,2.83,22
228,2.78,27
229,0.8499999999999996,20
230,2.4699999999999998,17
231,2.8499999999999996,20
232,2.69,36
233,2.86,19
234,2.81,24
235,2.7699999999999996,28
236,2.82,23
237,2.71,34
238,2.7300000000000004,32
239,2.7199999999999998,33
240,2.8699999999999997,18
241,2.85,20
242,2.84,21
243,2.8600000000000003,19
244,2.62,43
245,2.8499999999999996,20
246,2.76,29
247,2.8000000000000003,25
248,2.7499999999999996,30
249,2.79,26
250,2.7800000000000002,27
251,2.43,21
252,2.38,26
253,2.8099999999999996,24
254,2.4400000000000004,20
255,2.7700000000000005,28
256,2.81,24
257,2.7800000000000002,27
258,2.8,25
259,2.8499999999999996,20
260,2.82,23
261,2.76,29
262,2.46,18
263,1.71,11
264,2.8099999999999996,24
265,2.43,21
266,2.38,26
267,2.8200000000000003,23
268,2.75,30
269,2.78,27
270,2.47,17
271,2.86,19
272,2.8499999999999996,20
273,2.8099999999999996,24
274,2.84,21
275,0.8399999999999996,21
276,2.71,34
277,2.86,19
278,2.8499999999999996,20
279,2.3899999999999997,25
280,2.6899999999999995,36
281,2.81,24
282,2.67,38
283,2.71,34
284,2.4299999999999997,21
285,2.39,25
286,2.84,21
287,2.8200000000000003,23
288,2.8200000000000003,23
289,2.86,19
290,2.7,35
291,2.46,18
292,2.8099999999999996,24
293,2.77,28
294,2.4,24
295,2.8499999999999996,20
296,2.83,22
297,2.4400000000000004,20
298,2.48,16
299,2.84,21
300,2.8199999999999994,23
301,2.7699999999999996,28
302,2.8,25
303,2.8600000000000003,19
304,2.86,19
305,2.8,25
306,2.6799999999999997,37
307,2.39,25
308,2.83,22
309,2.09,14
310,2.74,31
311,2.8,25
312,2.48,16
313,2.8599999999999994,19
314,2.8299999999999996,22
315,2.7699999999999996,28
316,2.4000000000000004,24
317,2.08,15
318,2.45,60
319,2.7699999999999996,28
320,2.82,23
321,2.7499999999999996,30
322,2.8200000000000003,23
323,2.67,38
324,2.34,30
325,2.82,23
326,2.5199999999999996,53
327,2.4699999999999998,17
328,2.86,19
329,2.8,25
330,2.59,46
331,2.85,20
332,2.4799999999999995,16
333,2.7699999999999996,28
334,2.48,16
335,2.85,20
336,2.8199999999999994,23
337,2.3499999999999996,29
338,2.4299999999999997,21
339,2.1,13
340,2.51,54
341,2.4000000000000004,24
342,2.85,20
343,2.7699999999999996,28
344,2.81,24
345,2.8200000000000003,23
346,2.44,20
347,2.33,31
348,2.44,20
349,2.4399999999999995,20
350,2.85,20
