,recom,times
0,-0.75,16
1,-0.65,6
2,-0.4,22
3,-0.74,15
4,-0.4900000000000002,31
5,-0.28000000000000014,51
6,-1.15,15
7,1.8799999999999994,76
8,-0.9,31
9,-0.7000000000000001,11
10,-1.1199999999999999,12
11,-0.72,13
12,-0.78,19
13,-0.7100000000000001,12
14,-0.5700000000000003,39
15,1.7299999999999993,91
16,2.5999999999999996,45
17,-0.76,17
18,-0.5800000000000001,40
19,-1.08,8
20,-0.41000000000000003,23
21,2.54,51
22,-0.7000000000000004,52
23,-0.2000000000000003,43
24,1.92,31
25,1.22,19
26,-0.8200000000000001,23
27,-0.76,17
28,-1.1199999999999999,12
29,-0.7100000000000001,12
30,-0.8400000000000001,25
31,-0.4500000000000002,27
32,-0.40000000000000013,22
33,0.5099999999999998,54
34,-0.65,6
35,2.65,40
36,0.3699999999999999,27
37,2.7699999999999996,28
38,2.1199999999999997,52
39,-0.09000000000000008,32
40,2.5999999999999996,45
41,-1.09,9
42,-1.1199999999999999,12
43,2.3099999999999996,33
44,-1.08,8
45,0.2599999999999998,38
46,-1.13,13
47,-0.88,29
48,-0.69,10
49,-1.09,9
50,2.1399999999999997,50
51,-0.5700000000000002,39
52,-0.07000000000000017,30
53,2.17,47
54,-0.13000000000000012,36
55,-0.64,5
56,2.5999999999999996,45
57,2.59,46
58,2.7299999999999995,32
59,-1.03,3
60,2.62,43
61,2.58,47
62,-0.010000000000000009,24
63,2.62,43
64,-0.7100000000000001,12
65,0.15999999999999992,48
66,2.6299999999999994,42
67,-1.14,14
68,2.73,32
69,2.71,34
70,0.3599999999999999,28
71,2.6399999999999997,41
72,2.5999999999999996,45
73,-0.73,14
74,2.32,32
75,2.71,34
76,-0.6799999999999999,9
77,0.5299999999999998,52
78,-1.02,2
79,2.72,33
80,2.6999999999999997,35
81,2.5399999999999996,51
82,2.0199999999999996,21
83,1.9699999999999998,26
84,-0.3500000000000001,17
85,2.0,23
86,1.4799999999999998,75
87,2.5999999999999996,45
88,2.7,35
89,2.4299999999999997,62
90,2.6799999999999997,37
91,2.6899999999999995,36
92,2.71,34
93,2.44,20
94,2.5399999999999996,51
95,2.73,32
96,2.4799999999999995,57
97,0.41000000000000014,23
98,2.78,27
99,1.92,31
100,2.86,19
101,2.69,36
102,2.6799999999999997,37
103,2.71,34
104,2.69,36
105,2.69,36
106,2.3899999999999997,25
107,-0.4,22
108,1.879999999999999,117
109,-1.1,10
110,2.38,26
111,0.6399999999999999,41
112,2.7399999999999998,31
113,2.8499999999999996,20
114,2.8,25
115,2.61,44
116,2.44,20
117,2.3999999999999995,24
118,2.59,46
119,2.7800000000000002,27
120,2.3,34
121,2.8199999999999994,23
122,2.46,18
123,2.73,32
124,2.8,25
125,2.76,29
126,2.71,34
127,-0.71,12
128,2.4899999999999998,56
129,2.69,36
130,2.04,19
131,2.38,26
132,0.06000000000000005,17
133,2.78,27
134,2.7399999999999993,31
135,2.78,27
136,2.53,52
137,2.75,30
138,2.8099999999999996,24
139,2.8,25
140,1.2799999999999998,95
141,2.8699999999999997,18
142,2.82,23
143,2.8,25
144,2.83,22
145,2.76,29
146,2.78,27
147,2.46,59
148,2.8499999999999996,20
149,2.39,25
150,2.6,45
151,2.76,29
152,2.8200000000000003,23
153,1.71,11
154,2.6599999999999997,39
155,2.76,29
156,2.7,35
157,2.81,24
158,2.42,22
159,2.8499999999999996,20
160,2.84,21
161,2.33,31
162,2.81,24
163,2.67,38
164,1.7,12
165,-0.31000000000000005,13
166,2.69,36
167,2.85,20
168,2.8,25
169,2.59,46
170,2.76,29
171,2.8699999999999997,18
172,2.7,35
173,2.67,38
174,2.7899999999999996,26
175,2.7800000000000002,27
176,2.7699999999999996,28
177,2.74,31
178,2.86,19
179,2.84,21
180,2.7199999999999998,33
181,2.75,30
182,2.8699999999999997,18
183,2.34,30
184,2.74,31
185,2.8499999999999996,20
186,2.7699999999999996,28
187,2.8499999999999996,20
188,2.7799999999999994,27
189,2.85,20
190,2.7299999999999995,32
191,2.79,26
192,2.83,22
193,2.77,28
194,2.79,26
195,2.46,18
196,2.8,25
197,2.4499999999999997,19
198,2.8600000000000003,19
199,2.74,31
200,2.84,21
201,2.76,29
202,2.81,24
203,2.8100000000000005,24
204,2.6199999999999997,43
205,2.79,26
206,2.4499999999999997,19
207,2.76,29
208,2.7899999999999996,26
209,2.8499999999999996,20
210,2.78,27
211,2.26,38
212,2.8499999999999996,20
213,2.7699999999999996,28
214,2.8199999999999994,23
215,2.86,19
216,2.6399999999999997,41
217,2.74,31
218,2.8499999999999996,20
219,2.76,29
220,2.59,46
221,2.8299999999999996,22
222,2.7800000000000002,27
223,2.8099999999999996,24
224,2.8499999999999996,20
225,2.86,19
226,2.07,16
227,2.6999999999999997,35
228,2.84,21
229,2.8099999999999996,24
230,2.81,24
231,2.79,26
232,2.8499999999999996,20
233,2.8200000000000003,23
234,2.46,18
235,2.84,21
236,2.8699999999999997,18
237,2.81,24
238,2.62,43
239,2.71,34
240,2.8400000000000003,21
241,2.8400000000000003,21
242,2.4699999999999998,17
243,2.8099999999999996,24
244,2.8200000000000003,23
245,2.8,25
246,2.8499999999999996,20
247,2.7899999999999996,26
248,2.76,29
249,2.71,34
250,0.1200000000000001,11
251,2.69,36
252,1.8999999999999997,74
253,2.5799999999999996,47
254,2.51,54
255,2.36,69
256,2.83,22
257,2.8499999999999996,20
258,2.8699999999999997,18
259,2.8199999999999994,23
260,2.8099999999999996,24
261,2.85,20
262,2.8199999999999994,23
263,2.84,21
264,2.76,29
265,2.84,21
266,2.8699999999999997,18
267,2.71,34
268,2.77,28
269,2.08,15
270,2.86,19
271,2.8699999999999997,18
272,2.38,26
273,2.84,21
274,2.8199999999999994,23
275,2.46,18
276,2.8099999999999996,24
277,2.82,23
278,2.82,23
279,2.8499999999999996,20
280,2.8,25
281,2.8699999999999997,18
282,2.82,23
283,2.76,29
284,2.8599999999999994,19
285,2.46,18
286,2.45,19
287,2.28,36
288,2.81,24
289,2.83,22
290,2.8200000000000003,23
291,2.48,16
292,2.8699999999999997,18
293,2.73,32
294,2.6199999999999997,43
295,2.84,21
296,2.46,18
297,2.86,19
298,2.5399999999999996,51
299,2.8099999999999996,24
300,2.8599999999999994,19
301,2.84,21
302,2.8299999999999996,22
303,2.84,21
304,2.84,21
305,2.43,21
306,2.6999999999999997,35
307,2.84,21
308,2.8099999999999996,24
309,2.8299999999999996,22
310,2.82,23
311,2.82,23
312,2.8699999999999997,18
313,2.86,19
314,2.8,25
315,2.84,21
316,2.86,19
317,2.7399999999999998,31
318,2.8,25
319,2.79,26
320,2.45,19
321,2.82,23
322,2.55,50
323,2.75,30
324,2.8199999999999994,23
325,2.8499999999999996,20
326,1.72,10
327,2.83,22
328,2.54,51
329,2.8099999999999996,24
330,2.6199999999999997,43
331,2.8199999999999994,23
332,2.09,14
333,2.79,26
334,2.83,22
335,2.84,21
336,2.8200000000000003,23
337,2.7399999999999993,31
338,2.8499999999999996,20
339,2.8099999999999996,24
340,2.8699999999999997,18
341,2.75,30
342,2.8499999999999996,20
343,2.8599999999999994,19
344,2.6399999999999997,41
345,2.85,20
346,2.8099999999999996,24
347,2.82,23
348,2.8099999999999996,24
349,2.8499999999999996,20
350,2.7600000000000002,29
