,recom,times
0,-1.14,14
1,-1.06,6
2,-0.7500000000000003,98
3,-0.7,11
4,2.2,44
5,2.33,72
6,-0.28000000000000014,51
7,-0.74,15
8,-0.8600000000000001,27
9,2.46,59
10,2.55,50
11,-0.44000000000000017,26
12,0.029999999999999805,61
13,-0.7600000000000001,17
14,2.67,38
15,-1.04,4
16,2.5999999999999996,45
17,-1.1199999999999999,12
18,-0.77,18
19,2.0999999999999996,54
20,-0.23000000000000032,46
21,0.28,36
22,-0.15000000000000024,38
23,-0.6799999999999999,9
24,-0.72,13
25,-0.69,10
26,-1.18,18
27,0.7200000000000002,33
28,-0.29000000000000004,11
29,2.6199999999999997,43
30,-1.17,17
31,-1.05,5
32,1.8999999999999997,33
33,-0.3500000000000001,17
34,2.59,46
35,2.7299999999999995,32
36,-0.3500000000000001,17
37,-1.02,2
38,2.6399999999999997,41
39,-0.74,15
40,-1.04,4
41,-0.8300000000000001,24
42,2.66,39
43,2.7,35
44,-1.13,13
45,-0.41000000000000014,23
46,2.3899999999999997,66
47,2.59,46
48,2.6799999999999997,37
49,1.95,28
50,-0.7,11
51,2.6399999999999997,41
52,2.63,42
53,0.040000000000000036,19
54,0.24999999999999978,39
55,2.32,32
56,-0.31000000000000005,13
57,2.6399999999999997,41
58,2.8099999999999996,24
59,2.6399999999999997,41
60,2.34,30
61,2.53,52
62,-0.30000000000000004,12
63,2.6999999999999997,35
64,2.8,25
65,2.61,44
66,2.67,38
67,2.63,42
68,2.5700000000000003,48
69,1.9899999999999998,24
70,2.5699999999999994,48
71,0.7599999999999998,29
72,2.4399999999999995,61
73,0.5899999999999999,46
74,2.6399999999999997,41
75,-0.66,7
76,2.37,27
77,2.6199999999999997,43
78,2.1599999999999997,48
79,-0.5700000000000001,39
80,2.76,29
81,2.3,34
82,0.07999999999999985,15
83,-0.7,11
84,-0.44000000000000017,26
85,2.73,32
86,2.6499999999999995,40
87,2.77,28
88,2.6900000000000004,36
89,0.10000000000000009,13
90,2.58,47
91,0.76,29
92,2.67,38
93,2.3199999999999994,73
94,2.1399999999999997,50
95,2.85,20
96,2.8099999999999996,24
97,2.6999999999999997,35
98,2.5299999999999994,52
99,2.7699999999999996,28
100,2.63,42
101,2.61,44
102,2.58,47
103,2.3499999999999996,70
104,2.7699999999999996,28
105,2.76,29
106,2.3699999999999997,27
107,2.1799999999999997,46
108,2.7399999999999998,31
109,2.7199999999999998,33
110,2.76,29
111,2.3499999999999996,29
112,2.57,48
113,2.84,21
114,2.2299999999999995,41
115,2.6799999999999997,37
116,2.82,23
117,2.65,40
118,2.7799999999999994,27
119,2.37,27
120,-0.6799999999999999,9
121,2.75,30
122,2.8,25
123,2.74,31
124,2.7899999999999996,26
125,2.7800000000000002,27
126,2.78,27
127,2.76,29
128,2.8,25
129,2.84,21
130,1.8599999999999999,37
131,2.74,31
132,2.8,25
133,2.71,34
134,2.83,22
135,2.85,20
136,-0.030000000000000027,26
137,2.7299999999999995,32
138,1.6399999999999988,141
139,2.78,27
140,2.6499999999999995,40
141,2.76,29
142,2.86,19
143,2.69,36
144,2.84,21
145,2.67,38
146,-1.13,13
147,2.81,24
148,2.49,56
149,2.78,27
150,2.23,41
151,2.71,34
152,2.32,32
153,2.7499999999999996,30
154,2.76,29
155,2.77,28
156,2.84,21
157,2.71,34
158,2.4799999999999995,57
159,2.5999999999999996,45
160,2.85,20
161,2.8499999999999996,20
162,2.069999999999999,98
163,2.74,31
164,2.75,30
165,2.5999999999999996,45
166,2.7699999999999996,28
167,2.6799999999999997,37
168,2.85,20
169,2.3499999999999996,70
170,2.8299999999999996,22
171,2.8,25
172,2.37,27
173,2.42,22
174,2.7199999999999998,33
175,2.8499999999999996,20
176,2.46,18
177,2.8599999999999994,19
178,2.79,26
179,2.8299999999999996,22
180,2.6799999999999997,37
181,2.7299999999999995,32
182,2.8099999999999996,24
183,2.83,22
184,2.76,29
185,2.7,35
186,2.04,19
187,2.8,25
188,2.8,25
189,-0.30000000000000004,12
190,2.7399999999999998,31
191,1.289999999999999,176
192,2.8,25
193,2.76,29
194,2.6999999999999997,35
195,2.8199999999999994,23
196,2.7299999999999995,32
197,2.85,20
198,2.8299999999999996,22
199,2.43,21
200,2.86,19
201,2.71,34
202,2.7,35
203,2.7799999999999994,27
204,2.86,19
205,2.77,28
206,2.86,19
207,2.6399999999999997,41
208,2.7899999999999996,26
209,2.63,42
210,2.6099999999999994,44
211,2.83,22
212,2.6899999999999995,36
213,2.4999999999999996,55
214,2.77,28
215,2.38,67
216,2.4299999999999997,62
217,2.7699999999999996,28
218,2.7699999999999996,28
219,2.81,24
220,2.8100000000000005,24
221,2.8200000000000003,23
222,2.84,21
223,2.7699999999999996,28
224,2.0,64
225,2.75,30
226,2.86,19
227,2.76,29
228,2.75,30
229,2.04,19
230,2.8,25
231,2.81,24
232,2.63,42
233,2.7199999999999998,33
234,2.6799999999999997,37
235,1.99,24
236,2.1899999999999995,86
237,2.79,26
238,2.78,27
239,2.82,23
240,2.8199999999999994,23
241,2.86,19
242,2.84,21
243,2.78,27
244,2.8499999999999996,20
245,2.4099999999999993,64
246,2.86,19
247,2.55,50
248,2.44,20
249,2.8499999999999996,20
250,2.2699999999999996,37
251,1.2399999999999989,181
252,1.8499999999999994,79
253,2.73,32
254,2.79,26
255,2.7199999999999998,33
256,2.6799999999999997,37
257,2.79,26
258,2.48,57
259,1.99,24
260,1.7,12
261,2.79,26
262,2.82,23
263,2.269999999999999,78
264,2.4000000000000004,24
265,0.7,35
266,2.8500000000000005,20
267,2.79,26
268,2.7699999999999996,28
269,2.81,24
270,2.4299999999999997,21
271,2.82,23
272,2.88,17
273,2.8600000000000003,19
274,2.7399999999999998,31
275,2.7699999999999996,28
276,2.83,22
277,2.4299999999999997,21
278,2.84,21
279,2.4499999999999997,19
280,2.84,21
281,2.8600000000000003,19
282,2.8200000000000003,23
283,2.85,20
284,2.8699999999999997,18
285,2.2699999999999996,37
286,1.4600000000000002,17
287,2.77,28
288,2.79,26
289,2.84,21
290,1.39,24
291,2.39,25
292,2.8499999999999996,20
293,2.86,19
294,2.83,22
295,2.82,23
296,2.55,50
297,2.03,20
298,2.86,19
299,2.8299999999999996,22
300,2.52,53
301,2.71,34
302,2.86,19
303,2.8100000000000005,24
304,2.8499999999999996,20
305,2.34,30
306,2.7799999999999994,27
307,2.83,22
308,2.59,46
309,2.81,24
310,2.7800000000000002,27
311,2.34,30
312,2.42,22
313,2.81,24
314,2.8699999999999997,18
315,2.8499999999999996,20
316,2.75,30
317,2.63,42
318,2.79,26
319,2.8499999999999996,20
320,2.71,34
321,2.6799999999999997,37
322,2.8100000000000005,24
323,2.83,22
324,2.7399999999999998,31
325,2.84,21
