,recom,times
0,-1.18,18
1,-0.5600000000000002,17
2,-1.05,5
3,-0.5000000000000001,11
4,-0.4900000000000001,10
5,0.8399999999999994,60
6,-1.1199999999999999,12
7,3.47,58
8,0.36999999999999944,46
9,-1.06,6
10,-1.1,10
11,-1.17,17
12,-0.6900000000000002,30
13,3.5300000000000007,52
14,-0.03000000000000025,25
15,-1.02,2
16,2.9700000000000006,47
17,-0.3100000000000004,53
18,0.5399999999999998,29
19,0.6799999999999997,15
20,3.5100000000000025,54
21,0.4999999999999998,33
22,3.7600000000000007,29
23,3.650000000000001,40
24,0.06999999999999984,15
25,-1.1,10
26,3.440000000000003,61
27,-1.1199999999999999,12
28,-1.06,6
29,3.5800000000000027,47
30,0.48999999999999955,34
31,3.0900000000000007,35
32,0.9800000000000009,46
33,3.7500000000000013,30
34,1.1700000000000013,27
35,0.38999999999999946,44
36,-0.49,10
37,3.1700000000000004,27
38,-1.06,6
39,3.7200000000000015,33
40,-0.5000000000000001,11
41,-0.020000000000000018,24
42,0.47,36
43,1.0400000000000014,40
44,-1.08,8
45,0.019999999999999796,20
46,3.780000000000001,27
47,-1.18,18
48,-0.08000000000000018,30
49,1.1900000000000004,25
50,3.710000000000002,34
51,0.030000000000000027,19
52,3.660000000000001,39
53,3.5600000000000027,49
54,3.2,24
55,1.1300000000000017,31
56,3.1800000000000015,26
57,3.1900000000000013,25
58,-0.16000000000000025,38
59,3.660000000000001,39
60,3.5200000000000005,53
61,3.1100000000000008,33
62,3.5800000000000045,47
63,3.350000000000002,70
64,-0.54,15
65,3.7600000000000016,29
66,-0.04000000000000026,26
67,3.670000000000002,38
68,0.8699999999999997,34
69,3.06,38
70,3.5700000000000016,48
71,3.7800000000000007,27
72,3.2600000000000002,18
73,3.24,20
74,3.24,20
75,2.88,56
76,3.120000000000001,32
77,3.7500000000000027,30
78,3.5900000000000007,46
79,3.7400000000000015,31
80,3.770000000000002,28
81,3.7600000000000016,29
82,3.050000000000005,100
83,2.9600000000000013,48
84,3.600000000000002,45
85,3.7800000000000016,27
86,-1.06,6
87,3.2500000000000004,19
88,3.530000000000001,52
89,3.15,29
90,-0.7500000000000003,36
91,-0.5800000000000002,19
92,3.2200000000000006,22
93,2.92,52
94,3.4300000000000006,62
95,3.670000000000002,38
96,3.230000000000001,21
97,0.69,14
98,3.790000000000002,26
99,3.1600000000000006,28
100,3.6700000000000013,38
101,3.520000000000002,53
102,3.1700000000000004,27
103,3.7100000000000013,34
104,3.8300000000000005,22
105,3.7500000000000018,30
106,3.22,22
107,3.2400000000000007,20
108,3.6200000000000006,43
109,3.2000000000000006,24
110,3.780000000000001,27
111,3.5800000000000014,47
112,3.7200000000000006,33
113,3.560000000000001,49
114,3.5100000000000002,54
115,3.7300000000000013,32
116,3.7000000000000024,35
117,3.680000000000001,37
118,3.7800000000000007,27
119,3.8100000000000014,24
120,3.7800000000000016,27
121,3.2400000000000007,20
122,-0.10000000000000031,32
123,2.9799999999999995,46
124,3.5900000000000007,46
125,3.630000000000003,42
