,recom,times
0,-0.8,21
1,-1.06,6
2,0.61,44
3,0.06,17
4,-0.53,35
5,-0.72,54
6,-1.07,7
7,0.39,66
8,0.2,44
9,2.46,59
10,-0.01,24
11,2.54,51
12,-0.18,41
13,2.18,46
14,2.45,60
15,-1.07,7
16,-0.46,28
17,-1.16,16
18,-1.05,5
19,0.09,55
20,2.6,45
21,0.22,42
22,1.99,24
23,2.7,35
24,-0.7,11
25,-1.06,6
26,-0.67,8
27,-1.09,9
28,2.28,36
29,-0.75,16
30,2.24,40
31,-0.68,9
32,2.65,40
33,-0.78,19
34,-0.69,10
35,-0.42,24
36,-0.4,22
37,-0.45,27
38,-0.41,23
39,2.62,43
40,2.55,50
41,2.71,34
42,2.65,40
43,2.59,46
44,0.01,22
45,-0.67,8
46,2.7,35
47,2.68,37
48,-1.08,8
49,-0.81,22
50,2.28,36
51,2.8,25
52,-0.45,27
53,2.65,40
54,0.32,32
55,2.5,55
56,2.7,35
57,2.79,26
58,2.74,31
59,2.64,41
60,2.78,27
61,2.74,31
62,2.7,35
63,2.23,41
64,2.81,24
65,2.66,39
66,0.77,28
67,0.09,14
68,-0.06,29
69,-1.04,4
70,2.77,28
71,-0.02,25
72,2.57,48
73,2.64,41
74,2.77,28
75,2.59,46
76,2.72,33
77,2.75,30
78,0.02,21
79,2.54,51
80,0.37,27
81,0.46,18
82,0.26,38
83,2.41,23
84,2.71,34
85,2.73,32
86,2.83,22
87,2.34,30
88,2.73,32
89,0.11,12
90,2.77,28
91,2.72,33
92,-1.05,5
93,2.73,32
94,0.0,23
95,2.76,29
96,-0.3,12
97,2.8,25
98,2.75,30
99,2.5,55
100,2.81,24
101,2.7,35
102,2.81,24
103,2.78,27
104,2.79,26
105,2.84,21
106,2.79,26
107,0.83,22
108,2.72,33
109,2.82,23
110,1.58,24
111,-0.27,9
112,-1.09,9
113,2.8,25
114,2.76,29
115,2.42,22
116,2.74,31
117,2.75,30
118,2.82,23
119,0.79,26
120,2.83,22
121,2.4,24
122,-0.82,23
123,1.71,52
124,2.75,30
125,2.82,23
126,2.45,19
127,2.71,34
128,2.82,23
129,2.77,28
130,1.77,46
131,0.26,38
132,-1.04,4
133,2.02,21
134,2.68,37
135,2.76,29
136,2.82,23
137,2.84,21
138,-0.65,6
139,2.81,24
140,2.35,29
141,2.1,13
142,2.85,20
143,2.82,23
144,2.83,22
145,2.67,38
146,2.81,24
147,2.66,39
148,2.83,22
149,2.86,19
150,2.62,43
151,-0.7,11
152,-0.33,15
153,2.81,24
154,2.79,26
155,2.71,34
156,2.74,31
157,2.61,44
158,2.82,23
159,2.82,23
160,2.86,19
161,2.81,24
162,2.84,21
163,2.8,25
164,2.81,24
165,2.84,21
166,2.82,23
167,2.79,26
168,2.81,24
169,2.86,19
170,2.43,21
171,2.81,24
172,-0.65,6
173,2.66,39
174,2.85,20
175,2.52,53
176,1.91,32
177,-0.29,11
178,2.86,19
179,2.8,25
180,2.8,25
181,2.81,24
182,2.71,34
183,2.78,27
184,2.44,20
185,2.62,43
186,2.8,25
187,0.4,24
188,2.77,28
189,2.86,19
190,2.78,27
191,2.83,22
192,2.84,21
193,2.85,20
194,2.81,24
195,2.82,23
196,2.81,24
197,2.78,27
198,2.78,27
199,2.8,25
200,2.81,24
201,2.73,32
202,2.82,23
203,2.27,37
204,2.74,31
205,2.8,25
206,2.81,24
207,2.52,53
208,0.41,23
209,2.82,23
210,2.87,18
211,2.41,23
212,2.79,26
213,2.6,45
214,2.73,32
215,2.78,27
216,2.58,47
217,2.83,22
218,2.45,19
219,2.82,23
220,2.78,27
221,2.76,29
222,0.84,21
223,2.51,54
224,0.07,16
225,2.86,19
226,2.81,24
227,2.86,19
228,2.81,24
229,2.41,23
230,2.81,24
231,0.82,23
232,2.77,28
233,2.48,16
234,2.79,26
235,2.83,22
236,2.85,20
237,2.83,22
238,2.84,21
239,2.85,20
240,2.85,20
241,2.79,26
242,2.83,22
243,2.81,24
244,2.86,19
245,2.72,33
246,2.41,23
247,2.81,24
248,2.85,20
249,2.84,21
250,2.78,27
251,2.83,22
252,1.79,44
253,2.82,23
254,2.77,28
255,2.84,21
256,2.68,37
257,2.76,29
258,2.83,22
259,2.48,16
260,2.8,25
261,2.85,20
262,2.86,19
263,2.46,18
264,2.81,24
265,2.81,24
266,2.66,39
267,2.79,26
268,2.81,24
269,0.85,20
270,2.87,18
271,2.87,18
272,2.85,20
273,2.15,90
274,2.63,42
275,2.85,20
276,2.83,22
277,2.86,19
278,2.64,41
279,2.85,20
280,2.75,30
281,2.84,21
282,2.72,33
283,2.85,20
284,2.82,23
285,2.65,40
286,2.82,23
287,2.87,18
288,2.86,19
289,2.74,31
290,2.87,18
291,2.33,31
292,2.41,23
293,2.86,19
294,2.75,30
295,2.83,22
296,2.84,21
297,2.8,25
298,2.85,20
299,2.86,19
300,2.81,24
