,recom,times
0,0.67,33
1,-0.59,41
2,-1.06,6
3,-1.13,13
4,-1.28,28
5,-1.09,9
6,-0.77,18
7,0.01,22
8,-0.67,49
9,2.54,51
10,0.47,58
11,-0.46,28
12,-0.67,8
13,-1.23,23
14,-0.44,26
15,2.28,36
16,2.37,68
17,-0.35,17
18,-1.13,13
19,2.18,46
20,-0.18,41
21,1.85,38
22,-0.29,11
23,-1.05,5
24,-0.41,23
25,-0.41,23
26,-0.72,13
27,2.72,33
28,1.95,28
29,0.53,52
30,2.41,64
31,2.6,45
32,-1.07,7
33,2.69,36
34,2.68,37
35,-1.06,6
36,-1.05,5
37,-0.19,42
38,-0.75,16
39,0.01,22
40,2.26,38
41,-0.41,23
42,2.65,40
43,2.64,41
44,-1.09,9
45,2.7,35
46,-1.15,15
47,2.49,56
48,2.73,32
49,-0.29,11
50,0.41,23
51,2.7,35
52,2.68,37
53,2.81,24
54,-0.38,20
55,2.7,35
56,0.42,63
57,2.52,53
58,2.71,34
59,-0.01,24
60,2.31,33
61,2.48,57
62,2.83,22
63,2.12,52
64,2.33,31
65,2.51,54
66,2.7,35
67,2.08,56
68,2.34,71
69,0,23
70,2.62,43
71,1.98,25
72,2.79,26
73,-0.72,13
74,2.68,37
75,2.64,41
76,-1.12,12
77,2.75,30
78,1.96,27
79,-0.29,11
80,-1.02,2
81,2.39,25
82,2.07,16
83,2.78,27
84,2.74,31
85,2.57,48
86,2.43,21
87,2.78,27
88,-0.27,9
89,2.76,29
90,2.81,24
91,2.79,26
92,2.45,19
93,2.77,28
94,2.65,40
95,2.83,22
96,2.74,31
97,2.74,31
98,-0.06,29
99,2.63,42
100,2.45,19
101,2.78,27
102,2.81,24
103,0.42,39
104,1.1,31
105,2.24,81
106,2.83,22
107,2.73,32
108,2.86,19
109,2.42,22
110,2.7,35
111,2.77,28
112,2.34,71
113,2.61,44
114,2.81,24
115,-0.71,12
116,2.8,25
117,2.29,35
118,2.53,52
119,2.8,25
120,2.07,16
121,2.06,17
122,2.8,25
123,2.39,25
124,1.94,29
125,2.82,23
126,2.82,23
127,2.82,23
128,-0.32,14
129,2.8,25
130,0.74,31
131,2.78,27
132,2.75,30
133,-0.29,11
134,2.41,23
135,2.3,34
136,2.76,29
137,2.82,23
138,2.85,20
139,2.46,18
140,2.14,50
141,2.43,21
142,2.82,23
143,2.75,30
144,0.55,50
145,2.75,30
146,2.77,28
147,2.6,45
148,2.43,21
149,2.77,28
150,2.74,31
151,2.65,40
152,2.85,20
153,2.85,20
154,2.81,24
155,2.75,30
156,2.82,23
157,2.77,28
158,2.79,26
159,2.8,25
160,2.31,33
161,2.68,37
162,2.78,27
163,2.72,33
164,2.64,41
165,2.44,20
166,2.65,40
167,2.79,26
168,2.43,21
169,2.01,22
170,2.82,23
171,2.4,24
172,2.63,42
173,2.74,31
174,2.78,27
175,2.48,16
176,2.82,23
177,2.81,24
178,2.79,26
179,2.57,48
180,2.74,31
181,2.81,24
182,2.81,24
183,2.83,22
184,2.78,27
185,2.36,28
186,2.77,28
187,2.7,35
188,2.67,38
189,2.78,27
190,2.43,62
191,2.47,17
192,2.37,68
193,2.45,19
194,2.79,26
195,2.74,31
196,2.86,19
197,2.77,28
198,2.68,37
199,2.81,24
200,2.82,23
201,2.85,20
202,2.37,27
203,2.84,21
204,2.79,26
205,2.83,22
206,2.81,24
207,2.8,25
208,2.76,29
209,2.1,13
210,2.83,22
211,2.8,25
212,2.8,25
213,2.36,28
214,2.8,25
215,2.41,23
216,2.83,22
217,2.85,20
218,2.38,26
219,2.01,22
220,2.42,22
221,1.81,23
222,2.49,15
223,2.86,19
224,2.44,20
225,2.8,25
226,2.2,44
227,2.75,30
228,2.75,30
229,2.82,23
230,2.78,27
231,2.4,24
232,2.74,31
233,2.6,45
234,2.63,42
235,2.74,31
236,2.84,21
237,2.85,20
238,2.74,31
239,2.8,25
240,2.84,21
241,2.79,26
242,2.8,25
243,2.8,25
244,2.84,21
245,2.84,21
246,2.8,25
247,2.86,19
248,2.44,20
249,2.45,19
250,2.49,15
251,2.8,25
252,2.86,19
253,2.83,22
254,2.48,16
255,2.82,23
256,2.85,20
257,2.87,18
258,2.83,22
259,2.83,22
260,0.45,19
261,2.86,19
262,2.81,24
263,2.8,25
264,2.85,20
265,2.57,48
266,2.85,20
267,2.46,18
268,2.86,19
269,2.81,24
270,2.8,25
271,2.83,22
272,2.79,26
273,2.87,18
274,2.81,24
275,2.76,29
276,2.81,24
277,2.48,16
278,2.4,24
279,2.82,23
280,2.86,19
281,2.5,14
282,2.86,19
283,2.85,20
284,2.81,24
285,2.74,31
286,1.97,67
287,2.79,26
288,2.78,27
289,2.85,20
290,2.78,27
291,2.75,30
292,2.1,13
293,2.85,20
294,2.81,24
295,2.14,50
296,2.85,20
297,2.85,20
298,2.7,35
299,2.48,16
300,2.81,24
