,recom,times
0,-1.21,21
1,-0.3300000000000003,56
2,-0.9,31
3,0.23999999999999977,40
4,0.3799999999999999,67
5,-0.8400000000000001,25
6,0.12999999999999967,51
7,0.3299999999999994,72
8,-1.14,14
9,-0.8700000000000001,28
10,2.4399999999999995,61
11,-0.72,13
12,-1.1099999999999999,11
13,0.07999999999999963,56
14,-1.04,4
15,2.51,54
16,-0.6100000000000001,43
17,-0.71,12
18,2.61,44
19,0.21999999999999975,42
20,2.5399999999999996,51
21,2.34,30
22,2.33,31
23,-0.040000000000000036,27
24,-0.41000000000000003,23
25,-1.05,5
26,-0.6000000000000002,42
27,2.58,47
28,2.69,36
29,-0.3800000000000001,20
30,2.7199999999999998,33
31,2.63,42
32,-0.4800000000000001,30
33,2.5,55
34,2.4799999999999995,57
35,-0.74,15
36,2.55,50
37,-0.74,15
38,0.8199999999999996,23
39,2.66,39
40,-0.5600000000000002,38
41,2.34,71
42,-0.4900000000000002,31
43,1.92,31
44,-0.6100000000000002,43
45,0.010000000000000009,22
46,-0.71,12
47,2.3699999999999997,27
48,0.5699999999999998,48
49,0.6599999999999997,39
50,0.2999999999999996,75
51,-0.65,6
52,2.67,38
53,2.5999999999999996,45
54,-0.3400000000000001,16
55,-0.40000000000000013,22
56,0.7199999999999998,33
57,2.6799999999999997,37
58,2.7199999999999998,33
59,2.6599999999999997,39
60,2.39,25
61,2.72,33
62,2.6899999999999995,36
63,2.5399999999999996,51
64,2.1899999999999995,45
65,2.6599999999999997,39
66,-1.26,26
67,-0.27000000000000046,50
68,2.79,26
69,1.9,33
70,-0.3800000000000001,20
71,2.58,47
72,2.4099999999999997,64
73,0.48,57
74,2.44,20
75,-0.78,19
76,-0.75,16
77,-1.05,5
78,0.6499999999999997,40
79,2.67,38
80,2.4,24
81,-1.04,4
82,2.7699999999999996,28
83,2.78,27
84,2.76,29
85,0.029999999999999805,20
86,2.73,32
87,2.78,27
88,2.62,43
89,2.28,36
90,2.1099999999999994,53
91,2.2899999999999996,76
92,2.71,34
93,2.5299999999999994,52
94,2.46,18
95,2.42,22
96,2.6199999999999997,43
97,2.2299999999999995,41
98,2.7699999999999996,28
99,2.8100000000000005,24
100,2.4499999999999997,60
101,2.6999999999999997,35
102,2.63,42
103,2.4099999999999997,64
104,2.8200000000000003,23
105,2.8400000000000003,21
106,2.43,21
107,2.46,18
108,2.6199999999999997,43
109,2.29,35
110,2.75,30
111,1.9299999999999997,30
112,0.44999999999999996,19
113,2.77,28
114,-0.08000000000000018,31
115,-0.41000000000000003,23
116,2.79,26
117,1.9199999999999997,72
118,0.020000000000000018,21
119,2.33,31
120,2.8,25
121,2.8299999999999996,22
122,-0.69,10
123,2.8,25
124,2.43,21
125,2.48,16
126,2.6799999999999997,37
127,2.8499999999999996,20
128,-0.18000000000000027,41
129,2.75,30
130,2.4299999999999997,62
131,2.7,35
132,2.86,19
133,2.7800000000000002,27
134,2.48,57
135,2.82,23
136,0.8399999999999999,21
137,2.8299999999999996,22
138,2.45,19
139,2.36,28
140,2.8499999999999996,20
141,2.74,31
142,0.07999999999999963,56
143,2.5199999999999996,53
144,2.82,23
145,2.6599999999999997,39
146,2.84,21
147,1.4,42
148,2.86,19
149,2.16,48
150,2.73,32
151,2.79,26
152,2.8099999999999996,24
153,1.99,24
154,2.85,20
155,2.77,28
156,2.51,54
157,1.9,33
158,2.45,60
159,2.71,34
160,2.8,25
161,2.85,20
162,2.86,19
163,2.4699999999999998,17
164,2.82,23
165,2.24,40
166,2.84,21
167,2.8099999999999996,24
168,2.73,32
169,2.84,21
170,2.66,39
171,2.7399999999999998,31
172,2.4099999999999997,23
173,2.6099999999999994,44
174,2.84,21
175,2.84,21
176,2.85,20
177,2.84,21
178,2.87,18
179,2.71,34
180,2.8499999999999996,20
181,2.8499999999999996,20
182,2.1899999999999995,45
183,1.99,24
184,2.84,21
185,2.11,12
186,2.67,38
187,2.8099999999999996,24
188,2.09,14
189,2.82,23
190,2.77,28
191,2.85,20
192,2.77,28
193,2.7299999999999995,32
194,2.329999999999999,72
195,2.4099999999999997,23
196,2.84,21
197,2.79,26
198,2.81,24
199,2.8099999999999996,24
200,2.25,39
201,1.66,16
202,2.6599999999999997,39
203,2.8499999999999996,20
204,2.4899999999999998,15
205,2.8,25
206,2.86,19
207,2.8099999999999996,24
208,2.8699999999999997,18
209,2.38,26
210,2.8200000000000003,23
211,2.8200000000000003,23
212,2.8199999999999994,23
213,2.84,21
214,2.8499999999999996,20
215,2.8200000000000003,23
216,2.8099999999999996,24
217,2.82,23
218,2.78,27
219,2.4699999999999998,17
220,2.8099999999999996,24
221,2.84,21
222,2.8299999999999996,22
223,2.8199999999999994,23
224,2.8200000000000003,23
225,2.39,25
226,2.3699999999999997,27
227,2.61,44
228,2.4,24
229,2.84,21
230,2.11,12
231,2.8499999999999996,20
232,2.82,23
233,2.0399999999999996,60
234,2.6199999999999997,43
235,2.84,21
236,2.4699999999999998,17
237,2.46,18
238,2.8200000000000003,23
239,2.81,24
240,2.4899999999999998,15
241,2.8099999999999996,24
242,2.6599999999999997,39
243,2.85,20
244,2.3999999999999995,65
245,2.7,35
246,2.5399999999999996,51
247,2.8,25
248,2.8299999999999996,22
249,2.5,55
250,2.84,21
251,2.59,46
252,2.6399999999999997,41
253,2.86,19
254,2.8699999999999997,18
255,2.8599999999999994,19
256,2.4299999999999997,21
257,2.86,19
258,2.7899999999999996,26
259,2.8,25
260,2.8200000000000003,23
261,2.26,38
262,2.82,23
