,recom,times
0,0.0,0
1,-4.21,46
2,-1.0,10
3,-1.27,34
4,-1.66,36
5,-0.81,25
6,-1.05,35
7,-1.37,31
8,-1.0,7
9,-1.0,6
10,-0.6,16
11,-3.72,54
12,-8.12,62
13,-1.0,5
14,-1.0,5
15,-1.0,8
16,-1.0,6
17,-0.2,16
18,-8.24,68
19,-2.46,53
20,-0.6,12
21,-0.11,40
22,2.08,33
23,-0.75,29
24,-13.93,79
25,-0.2,18
26,-3.43,56
27,-0.53,31
28,-0.6,8
29,-10.76,72
30,0.92,38
31,0.2,19
32,-1.51,35
33,-1.0,4
34,-1.0,5
35,-1.0,6
36,-4.07,57
37,2.17,21
38,-1.0,11
39,-0.6,11
40,0.17,21
41,-1.75,43
42,-1.0,6
43,-0.26,22
44,0.59,28
45,-0.63,21
46,0.98,40
47,-0.2,17
48,1.3,36
49,-0.2,11
50,1.75,28
51,-1.0,6
52,2.58,28
53,0.74,39
54,-1.6,42
55,1.05,39
56,-1.0,8
57,-15.88,82
58,-2.16,51
59,-0.37,46
60,2.59,28
61,-1.0,7
62,-0.6,14
63,2.53,29
64,1.98,30
65,1.34,38
66,-1.0,5
67,0.14,22
68,-0.2,18
69,-6.39,59
70,0.67,41
71,2.91,23
72,1.29,36
73,-0.9,46
74,-3.64,57
75,-7.77,67
76,1.28,35
77,1.77,35
78,1.76,36
79,-0.08,31
80,-4.53,60
81,2.0,34
82,2.35,26
83,1.67,36
84,0.52,42
85,-0.6,13
86,2.43,30
87,-0.26,22
88,2.44,30
89,2.88,24
90,-4.55,59
91,0.45,42
92,2.3,31
93,0.38,26
94,2.45,30
95,-1.0,2
96,0.78,41
97,0.08,30
98,2.86,24
99,2.84,25
100,2.77,26
101,1.39,35
102,2.24,32
103,-2.99,54
104,1.98,30
105,-2.21,43
106,2.52,29
107,2.12,34
108,0.58,29
109,0.2,16
110,2.86,24
111,2.32,26
112,1.88,35
113,0.87,40
114,2.97,21
115,-0.2,11
116,2.08,33
117,2.62,28
118,1.75,35
119,2.45,30
120,-0.2,13
121,2.99,20
122,-0.2,10
123,0.78,41
124,2.86,24
125,0.71,40
126,-1.38,49
127,2.77,26
128,1.0,8
129,2.65,28
130,2.25,27
131,-0.6,8
132,2.58,28
133,2.74,26
134,-0.51,48
135,2.12,23
136,1.36,37
137,2.99,20
138,2.21,33
139,1.66,35
140,2.2,15
141,2.46,30
142,-0.6,7
143,2.83,25
144,2.94,22
145,-0.4,45
146,-1.94,38
147,2.95,22
148,2.09,34
149,2.38,31
150,2.57,21
151,0.54,41
152,2.92,23
153,2.91,23
154,-1.0,6
155,-0.6,12
156,1.62,36
157,3.0,19
158,2.99,20
159,-1.68,49
160,-0.24,45
161,2.81,25
162,2.33,31
163,2.63,28
164,2.87,24
165,2.87,24
166,2.7,27
167,-3.26,54
168,2.94,22
169,2.95,22
170,2.99,20
171,1.8,18
172,2.94,22
173,2.83,25
174,2.79,26
175,2.75,26
176,2.97,21
177,2.66,28
178,2.55,29
179,2.9,23
180,2.7,27
181,2.55,29
182,2.95,22
183,2.54,22
184,2.94,22
185,-1.0,6
186,2.84,25
187,2.99,20
188,2.88,24
189,3.0,19
190,-1.0,3
191,2.86,24
192,2.97,21
193,2.94,22
194,2.61,28
195,2.97,21
196,2.09,34
197,2.87,24
198,2.74,26
199,1.63,37
200,2.67,28
201,2.6,16
202,2.44,30
203,1.99,25
204,-0.88,49
205,2.83,25
206,0.88,40
207,2.87,24
208,2.83,25
209,2.88,24
210,3.0,19
211,2.95,22
212,2.38,30
213,2.85,24
214,2.4,25
215,2.09,32
216,2.94,22
217,2.99,20
218,-0.2,10
219,2.69,27
220,2.86,24
221,1.65,37
222,0.3,42
223,0.59,20
224,-0.6,6
225,1.64,36
226,-11.92,76
227,2.92,23
228,2.99,20
229,2.6,17
230,2.97,21
231,2.71,27
232,2.84,25
233,2.57,21
234,-0.6,6
235,2.9,23
236,2.77,26
237,2.79,25
238,3.0,19
239,2.08,30
240,2.59,20
241,2.97,21
242,2.87,24
243,3.0,18
244,3.0,19
245,-1.0,2
246,2.77,26
247,2.88,24
248,2.23,28
249,2.97,21
250,2.7,27
251,2.99,20
252,2.99,20
253,2.5,23
254,2.28,31
255,2.99,20
256,3.0,19
257,2.97,21
258,2.07,34
259,2.94,22
260,3.0,19
261,2.39,26
262,3.0,18
263,2.95,22
264,1.08,39
265,2.94,22
266,3.0,19
267,3.0,19
268,2.57,21
269,2.88,24
270,2.97,21
271,1.36,39
272,3.0,19
273,2.82,25
274,2.92,23
275,2.87,24
276,3.0,18
277,2.97,21
278,2.94,22
279,2.95,22
280,3.0,19
281,2.97,21
282,2.87,24
283,2.94,22
284,2.5,23
285,3.0,17
286,2.97,21
287,2.99,20
288,2.92,23
289,3.0,19
290,3.0,19
291,2.6,28
292,2.59,20
293,2.88,24
294,2.97,21
295,2.84,25
296,2.97,21
297,2.95,22
298,2.99,20
299,3.0,19
300,2.15,33
