epoca,recom,times
0,1.4,15
1,-1,11
2,-1,9
3,-0.6,19
4,-1,16
5,-0.6,16
6,-1,9
7,-0.6,13
8,-4.66,49
9,-0.23,21
10,-0.63,21
11,-1.62,36
12,-1,11
13,-0.6,8
14,-12.23,69
15,-0.6,14
16,-10.8,67
17,-1,9
18,-1,12
19,-1,5
20,-0.6,17
21,-1,3
22,-3.72,54
23,-1.65,43
24,-1,7
25,-1.95,42
26,-14.98,76
27,-1.46,46
28,-0.6,14
29,1.57,33
30,-1,2
31,-8.97,68
32,-2.31,42
33,-1,4
34,1.64,36
35,-1,15
36,-0.35,24
37,-1,8
38,0.65,41
39,-6.96,65
40,-0.6,18
41,-6.74,59
42,-1,14
43,-0.7,23
44,-0.35,29
45,-5.08,53
46,-1,6
47,2.75,26
48,-5.95,62
49,-1,11
50,0.29,43
51,-0.38,45
52,-6.84,64
53,1.6,30
54,-2.47,53
55,2.46,24
56,-2.11,51
57,0.82,36
58,2.07,34
59,-7.81,66
60,0.76,41
61,-1,5
62,-7.83,66
63,-1.19,49
64,-1.4,34
65,-0.2,19
66,1.26,39
67,1.93,34
68,0.81,41
69,0.1,23
70,2.23,32
71,-7.69,65
72,2.62,28
73,-3.47,56
74,2.84,25
75,1.18,34
76,0.02,45
77,0.57,21
78,-0.6,8
79,1.87,35
80,-0.26,22
81,-0.42,33
82,-3.02,55
83,1.96,31
84,1.13,34
85,0.66,41
86,-1.18,50
87,-0.05,26
88,-2,51
89,-5.38,61
90,-1.83,51
91,-6.41,63
92,2.82,25
93,-1,3
94,2.59,20
95,0.72,41
96,2.91,23
97,2.53,29
98,2.48,24
99,1.8,34
100,0.37,42
101,-0.6,5
102,2.07,33
103,2.22,32
104,-4.8,58
105,-0.27,46
106,1.13,38
107,1.75,28
108,0.2,18
109,2.88,24
110,2.59,20
111,2.59,20
112,-0.21,45
113,-6.17,63
114,1.6,37
115,2.48,24
116,2.39,30
117,2.79,26
118,-1.67,50
119,2.82,25
120,2.52,30
121,-0.78,47
122,1.85,34
123,1.68,36
124,2.2,32
125,2.83,25
126,2.17,21
127,-0.48,34
128,-0.43,47
129,2.53,29
130,2.43,25
131,0.78,40
132,0.2,43
133,-3.19,53
134,1.94,35
135,-10.27,73
136,0.64,42
137,-0.22,45
138,2.62,28
139,-0.6,47
140,2.04,33
141,-3.4,58
142,2.06,30
143,2.9,23
144,2.46,30
145,2.6,18
146,-1.24,48
147,-0.6,5
148,2.95,22
149,2.3,27
150,1.7,36
151,1,17
152,2.44,31
153,2.62,28
154,0.58,40
155,-1.08,50
156,2.6,18
157,2.9,23
158,1.72,37
159,2.79,26
160,2.85,24
161,2.43,25
162,2.57,21
163,2.95,22
164,2.6,28
165,-0.41,26
166,1.47,35
167,2.09,30
168,2.66,27
169,0.16,44
170,0.2,17
171,2.6,19
172,2.6,19
173,2.84,25
174,2.65,28
175,-0.75,48
176,2.95,22
177,0.69,27
178,2.77,26
179,2.92,23
180,2.85,24
181,2.37,26
182,2.11,32
183,2.6,19
184,2.9,23
185,2.1,32
186,1.7,36
187,2.2,17
188,2.59,20
189,2.63,28
190,2.99,20
191,3,19
192,2.52,23
193,2.88,24
194,0.51,43
195,2.99,20
196,2.52,23
197,2.59,20
198,2.59,20
199,2.58,29
200,2.99,20
201,3,19
202,2.94,22
203,1.88,35
204,2.2,17
205,3,18
206,-0.02,42
207,2.97,21
208,-1.17,30
209,2.6,18
210,1.19,39
211,2.56,29
212,2.97,21
213,-1.58,51
214,1.83,36
215,2.77,26
216,2.99,20
217,3,19
218,2.95,22
219,2.84,25
220,2.95,22
221,2.67,28
222,2.95,22
223,2.44,25
224,0.83,41
225,2.77,26
226,2.97,21
227,2.84,25
228,2.57,21
229,1.2,33
230,2.6,18
231,2.94,22
232,2.6,17
233,2.14,32
234,1.62,36
235,1.09,35
236,2.59,20
237,2.97,21
238,3,18
239,0.85,29
240,2.6,16
241,2.9,23
242,2.97,21
243,2.99,20
244,3,18
245,2.99,20
246,2.2,11
247,2.78,26
248,2.99,20
249,1.5,38
250,2.84,25
251,2.97,21
252,2.66,28
253,2.55,22
254,2.95,22
255,2.92,23
256,2.79,25
257,3,18
258,2.6,16
259,2.6,19
260,2.6,16
261,2.92,23
262,2.2,13
263,2.99,20
264,1.03,39
265,2.99,20
266,3,18
267,3,18
268,2.99,20
269,2.95,22
270,3,17
271,2.88,24
272,1.89,35
273,2.11,33
274,2.99,20
275,2.6,16
276,2.99,20
277,1.84,27
278,2.99,20
279,2.79,26
280,2.6,19
281,3,19
282,3,18
283,2.72,26
284,2.99,20
285,2.6,15
286,2.99,20
287,3,19
288,3,19
289,2.9,23
290,3,19
291,2.99,20
292,2.97,21
293,2.6,16
294,2.97,21
295,1.45,37
296,2.6,15
297,2.99,20
298,3,19
299,2.97,21
300,2.16,33
301,2.48,29
302,3,19
303,2.38,26
304,2.99,20
305,2.2,14
306,2.57,21
307,3,19
308,2.97,21
309,2.57,21
310,2.6,18
311,2.76,26
312,2.97,21
313,2.52,29
314,2.91,23
315,2.19,29
316,0.41,44
317,2.6,19
318,2.6,16
319,2.99,20
320,2.78,26
321,2.99,20
322,3,18
323,2.92,23
324,2.95,22
325,2.48,24
326,3,19
327,2.95,22
328,2.97,21
329,1.5,36
330,2.94,22
331,2.6,17
332,2.37,31
333,1.62,36
334,2.97,21
335,3,19
336,2.6,19
337,1.92,31
338,2.6,14
339,2.99,20
340,3,18
341,2.52,23
342,2.59,29
343,2.6,17
344,3,18
345,3,19
346,2.92,23
347,2.92,23
348,2.95,22
