,recom,times
0,-1.06,6
1,-0.77,18
2,-1.04,4
3,-0.06,29
4,-0.82,23
5,-1.06,6
6,-0.61,43
7,-0.57,39
8,-0.71,12
9,-0.69,10
10,0.3,75
11,-0.73,14
12,-1.15,15
13,-1.07,7
14,-0.49,31
15,-1.11,11
16,-0.74,15
17,2.09,55
18,2.54,51
19,-1.08,8
20,-1.06,6
21,0.05,18
22,-0.82,23
23,0.33,31
24,-0.42,24
25,2.39,66
26,-1.06,6
27,2.59,46
28,-0.34,16
29,-0.38,20
30,-1.06,6
31,-0.37,19
32,-1.03,3
33,-0.68,9
34,0.01,22
35,2.69,36
36,-0.34,16
37,-0.74,15
38,-1.04,4
39,2.57,48
40,-0.72,13
41,0.24,40
42,2.63,42
43,-0.45,27
44,2.58,47
45,-1.03,3
46,2.25,39
47,-0.66,7
48,-0.34,16
49,2.81,24
50,2.25,39
51,-1.04,4
52,-0.43,25
53,-1.07,7
54,2.66,39
55,-0.11,34
56,0.01,22
57,0.4,24
58,-0.72,13
59,2.74,31
60,2.31,33
61,2.66,39
62,-0.65,6
63,2.7,35
64,2.3,34
65,2.58,47
66,-0.78,19
67,0.01,22
68,0.37,27
69,0.39,25
70,2.21,43
71,2.37,68
72,2.72,33
73,2.18,46
74,2.73,32
75,2.02,62
76,2.68,37
77,2.4,65
78,2.0,23
79,2.82,23
80,2.68,37
81,-1.06,6
82,2.68,37
83,-1.02,2
84,2.61,44
85,1.99,24
86,0.72,50
87,-0.5,32
88,2.74,31
89,2.55,50
90,2.64,41
91,2.47,58
92,2.69,36
93,2.41,23
94,-1.07,7
95,2.67,38
96,2.39,25
97,2.58,47
98,2.8,25
99,-1.05,5
100,2.78,27
101,2.34,71
102,2.75,30
103,2.54,51
104,2.3,34
105,2.75,30
106,2.4,24
107,2.83,22
108,2.74,31
109,2.62,43
110,2.84,21
111,2.74,31
112,2.59,46
113,2.69,36
114,2.75,30
115,-0.66,7
116,2.43,21
117,2.66,39
118,2.82,23
119,2.7,35
120,2.75,30
121,2.48,57
122,2.8,25
123,2.83,22
124,2.71,34
125,1.98,25
126,2.71,34
127,2.76,29
128,2.53,52
129,2.69,36
130,2.79,26
131,2.86,19
132,2.79,26
133,2.76,29
134,2.77,28
135,2.73,32
136,2.83,22
137,2.77,28
138,2.8,25
139,2.82,23
140,2.86,19
141,2.84,21
142,2.55,50
143,2.88,17
144,2.57,48
145,2.74,31
146,2.84,21
147,-1.03,3
148,2.81,24
149,2.82,23
150,2.06,17
151,2.79,26
152,-0.67,8
153,2.09,55
154,2.73,32
155,2.65,40
156,2.82,23
157,2.81,24
158,-0.28,10
159,2.42,22
160,2.11,53
161,2.84,21
162,2.78,27
163,2.84,21
164,2.83,22
165,2.81,24
166,2.64,41
167,2.7,35
168,2.38,26
169,2.79,26
170,2.64,41
171,2.83,22
172,2.81,24
173,2.82,23
174,2.85,20
175,2.82,23
176,2.4,24
177,2.8,25
178,2.77,28
179,2.71,34
180,2.8,25
181,2.81,24
182,2.86,19
183,2.77,28
184,2.84,21
185,2.87,18
186,2.76,29
187,2.87,18
188,2.73,32
189,-0.71,12
190,2.86,19
191,2.66,39
192,2.81,24
193,2.64,41
194,2.85,20
195,2.72,33
196,2.44,20
197,2.87,18
198,2.55,50
199,1.98,25
200,2.4,24
201,2.82,23
202,2.85,20
203,2.79,26
204,2.84,21
205,2.83,22
206,2.85,20
207,-0.68,9
208,2.65,40
209,2.72,33
210,2.8,25
211,2.81,24
212,2.45,60
213,2.73,32
214,2.02,21
215,2.77,28
216,2.85,20
217,2.83,22
218,2.85,20
219,2.85,20
220,2.72,33
221,2.86,19
222,2.77,28
223,2.85,20
224,2.87,18
225,2.86,19
226,2.82,23
227,2.43,21
228,2.86,19
229,2.81,24
230,2.33,72
231,2.8,25
232,2.83,22
233,2.82,23
234,2.67,38
235,2.81,24
236,2.79,26
237,2.72,33
238,2.78,27
239,2.81,24
240,2.62,43
241,2.43,21
242,2.82,23
243,2.8,25
244,2.86,19
245,2.82,23
246,2.83,22
247,2.49,56
248,2.68,37
249,2.45,19
250,2.61,44
251,2.42,22
252,2.8,25
253,2.47,17
254,2.84,21
255,2.81,24
256,2.85,20
257,2.86,19
258,2.79,26
259,2.8,25
260,2.85,20
261,2.81,24
262,2.58,47
263,2.85,20
264,2.7,35
265,2.72,33
266,2.79,26
267,2.05,59
268,2.83,22
269,2.83,22
270,2.8,25
271,2.73,32
272,2.41,64
273,2.83,22
274,2.81,24
275,2.44,20
276,2.85,20
277,2.82,23
278,2.83,22
279,-0.64,5
280,2.88,17
281,2.69,36
282,2.85,20
283,2.8,25
284,2.8,25
285,2.75,30
286,2.75,30
287,2.81,24
288,2.81,24
289,2.84,21
290,2.18,46
291,2.81,24
292,2.86,19
293,2.66,39
294,2.85,20
295,2.86,19
296,2.87,18
297,2.86,19
298,2.86,19
299,2.84,21
300,2.63,42
