,recom,times
0,-1.1099999999999999,11
1,-0.7300000000000002,55
2,-0.3500000000000001,17
3,-1.1,10
4,-1.04,4
5,-1.16,16
6,-0.76,17
7,-0.8600000000000001,27
8,-1.1099999999999999,11
9,-1.05,5
10,-0.3900000000000001,21
11,-1.1,10
12,-1.06,6
13,-1.04,4
14,-0.30000000000000004,53
15,-1.05,5
16,-0.69,10
17,-1.1,10
18,-0.8300000000000001,24
19,-1.02,2
20,-1.1,10
21,-1.09,9
22,-0.4700000000000001,29
23,-0.09000000000000019,32
24,-1.1,10
25,-0.77,18
26,-0.77,18
27,2.3599999999999994,69
28,2.4699999999999998,58
29,-0.8200000000000001,23
30,2.09,55
31,-1.04,4
32,-0.78,19
33,-0.78,19
34,-1.05,5
35,-1.05,5
36,-1.02,2
37,-0.11000000000000021,34
38,2.5599999999999996,49
39,-1.04,4
40,0.31999999999999984,32
41,-0.4600000000000001,28
42,2.46,59
43,2.55,50
44,1.9499999999999997,28
45,2.7199999999999998,33
46,2.78,27
47,-0.3600000000000001,59
48,-0.71,12
49,2.74,31
50,-1.04,4
51,0.3999999999999999,24
52,2.1799999999999997,46
53,0.22999999999999976,41
54,2.58,47
55,-0.71,12
56,2.57,48
57,2.7800000000000002,27
58,-1.1,10
59,-0.67,8
60,2.5299999999999994,52
61,2.3,34
62,2.66,39
63,2.37,27
64,0.06000000000000005,17
65,2.55,50
66,2.7199999999999998,33
67,2.35,29
68,-1.06,6
69,2.65,40
70,2.7800000000000002,27
71,2.74,31
72,2.6599999999999997,39
73,2.62,43
74,2.67,38
75,2.5599999999999996,49
76,0.42999999999999994,21
77,2.61,44
78,2.5799999999999996,47
79,-0.9100000000000001,32
80,-0.030000000000000027,26
81,2.77,28
82,2.62,43
83,-1.13,13
84,2.34,30
85,2.21,43
86,2.0599999999999996,58
87,2.79,26
88,2.3099999999999996,33
89,2.71,34
90,2.2699999999999996,37
91,2.5999999999999996,45
92,2.3499999999999996,29
93,2.7,35
94,2.6399999999999997,41
95,2.8,25
96,2.6999999999999997,35
97,2.82,23
98,2.84,21
99,2.45,19
100,0.040000000000000036,19
101,2.33,31
102,2.75,30
103,2.6,45
104,2.81,24
105,2.79,26
106,2.83,22
107,2.8099999999999996,24
108,2.84,21
109,2.86,19
110,2.7299999999999995,32
111,2.7199999999999998,33
112,2.3,34
113,2.7399999999999998,31
114,-0.30000000000000004,12
115,2.8099999999999996,24
116,2.79,26
117,2.6399999999999997,41
118,2.44,20
119,2.38,26
120,2.76,29
121,0.3899999999999997,25
122,2.36,69
123,2.6799999999999997,37
124,2.73,32
125,2.7199999999999998,33
126,2.7299999999999995,32
127,-1.1099999999999999,11
128,2.39,25
129,2.75,30
130,2.61,44
131,2.83,22
132,-0.27000000000000024,50
133,2.76,29
134,0.06000000000000005,17
135,2.3599999999999994,69
136,2.8,25
137,2.81,24
138,2.85,20
139,2.83,22
140,2.47,17
141,2.51,54
142,2.46,18
143,2.8299999999999996,22
144,-0.74,15
145,2.84,21
146,2.7,35
147,2.6799999999999997,37
148,2.75,30
149,2.7800000000000002,27
150,2.3099999999999996,74
151,2.27,37
152,2.38,26
153,-0.6799999999999999,9
154,2.64,41
155,2.7399999999999998,31
156,2.5199999999999996,53
157,-1.08,8
158,2.3899999999999997,25
159,2.63,42
160,2.47,17
161,2.82,23
162,-1.04,4
163,2.8,25
164,-1.02,2
165,2.7699999999999996,28
166,2.4399999999999995,20
167,2.7199999999999998,33
168,2.8,25
169,2.7399999999999998,31
170,2.79,26
171,2.83,22
172,2.32,73
173,2.71,34
174,2.87,18
175,2.4699999999999998,17
176,2.78,27
177,2.4400000000000004,20
178,2.8599999999999994,19
179,2.84,21
180,2.37,27
181,2.8499999999999996,20
182,2.8200000000000003,23
183,2.78,27
184,2.83,22
185,2.78,27
186,-0.29000000000000004,11
187,2.8,25
188,0.7999999999999998,25
189,2.8499999999999996,20
190,2.1799999999999997,46
191,2.6899999999999995,36
192,2.5300000000000002,52
193,2.76,29
194,2.4799999999999995,57
195,-0.8200000000000001,23
196,2.77,28
197,2.81,24
198,1.87,36
199,2.8099999999999996,24
200,2.84,21
201,2.81,24
202,2.46,18
203,2.1799999999999997,46
204,1.72,10
205,2.57,48
206,2.79,26
207,2.8699999999999997,18
208,2.71,34
209,2.69,36
210,2.8499999999999996,20
211,2.87,18
212,2.71,34
213,2.7800000000000002,27
214,2.27,78
215,2.44,61
216,2.76,29
217,2.63,42
218,2.8,25
219,2.79,26
220,2.75,30
221,2.2199999999999998,42
222,2.3299999999999996,31
223,2.83,22
224,2.45,19
225,2.85,20
226,2.7899999999999996,26
227,2.75,30
228,2.8500000000000005,20
229,2.84,21
230,2.8299999999999996,22
231,2.76,29
232,2.79,26
233,2.36,69
234,2.67,38
235,2.6599999999999997,39
236,2.84,21
237,2.75,30
238,2.42,22
239,2.4699999999999998,17
240,2.61,44
241,-1.04,4
242,2.78,27
243,2.38,26
244,2.47,17
245,2.86,19
246,2.86,19
247,2.6999999999999997,35
248,2.3899999999999997,66
249,2.71,34
250,2.66,39
251,2.51,54
252,2.83,22
253,2.2299999999999995,41
254,-1.06,6
255,2.4299999999999997,21
256,2.34,30
257,2.7699999999999996,28
258,2.5,14
259,2.58,47
260,2.87,18
261,2.4899999999999998,15
262,2.79,26
263,2.8099999999999996,24
264,2.83,22
265,2.6899999999999995,36
266,2.86,19
267,2.46,18
268,2.8499999999999996,20
269,2.69,36
270,2.8299999999999996,22
271,2.67,38
272,2.81,24
273,2.61,44
274,2.84,21
275,2.4899999999999998,15
276,2.78,27
277,2.84,21
278,2.8499999999999996,20
279,2.8499999999999996,20
280,2.84,21
281,2.76,29
282,2.8599999999999994,19
283,2.8599999999999994,19
284,2.84,21
285,2.85,20
286,2.78,27
287,2.4299999999999997,62
288,2.86,19
289,2.6999999999999997,35
290,2.73,32
291,2.7499999999999996,30
292,2.8099999999999996,24
293,2.79,26
294,2.8299999999999996,22
295,2.44,20
296,2.63,42
297,2.84,21
298,2.3699999999999997,68
299,2.8099999999999996,24
300,2.82,23
301,2.07,16
302,2.85,20
303,2.77,28
304,2.84,21
305,2.83,22
306,2.04,19
307,2.86,19
308,2.5,14
309,2.86,19
310,2.7700000000000005,28
311,2.4399999999999995,20
312,2.8299999999999996,22
313,2.86,19
314,2.86,19
315,2.8099999999999996,24
316,2.79,26
317,2.8099999999999996,24
318,0.9299999999999989,171
319,2.85,20
320,2.86,19
321,2.88,17
322,2.82,23
323,2.84,21
324,2.86,19
325,2.88,17
326,2.8,25
327,2.88,17
328,2.8199999999999994,23
329,2.83,22
330,2.4699999999999998,17
331,2.84,21
332,2.5,14
333,2.88,17
334,2.83,22
335,2.76,29
336,2.44,20
337,2.82,23
338,2.63,42
339,2.8299999999999996,22
340,2.86,19
341,2.39,25
342,2.86,19
343,1.96,27
344,2.3,34
345,2.8199999999999994,23
346,2.85,20
347,2.8499999999999996,20
348,2.75,30
349,2.11,12
350,2.8499999999999996,20
