,recom,times
0,1.58,24
1,-1.1,10
2,-0.01,65
3,-0.12,35
4,-0.81,22
5,-0.0,64
6,-0.7,52
7,-1.11,11
8,-1.08,8
9,0.13,51
10,-0.4,22
11,-0.65,6
12,-1.19,19
13,-0.31,54
14,-0.44,26
15,-1.24,24
16,-1.05,5
17,-0.55,37
18,-0.04,27
19,-0.51,33
20,-0.84,25
21,2.01,63
22,-0.12,35
23,2.64,41
24,-1.03,3
25,2.15,49
26,0.27,37
27,-1.05,5
28,2.7,35
29,2.47,58
30,2.65,40
31,-0.71,12
32,2.17,47
33,-1.11,11
34,-0.34,16
35,2.78,27
36,2.85,20
37,2.65,40
38,2.62,43
39,-1.03,3
40,-1.05,5
41,2.71,34
42,-0.32,14
43,2.64,41
44,-0.18,41
45,-0.75,16
46,-0.7,11
47,2.35,29
48,-0.72,13
49,2.41,23
50,2.63,42
51,2.2,44
52,-1.06,6
53,-0.33,15
54,2.68,37
55,0.39,25
56,0.21,43
57,2.65,40
58,0.04,19
59,-0.29,11
60,2.61,44
61,2.52,53
62,0.0,23
63,-1.06,6
64,2.7,35
65,2.75,30
66,0.03,20
67,-0.65,6
68,-0.68,9
69,2.74,31
70,-1.05,5
71,2.75,30
72,-1.11,11
73,2.65,40
74,2.4,24
75,2.61,44
76,2.76,29
77,-1.07,7
78,0.01,22
79,0.45,19
80,2.61,44
81,2.04,19
82,2.39,66
83,-0.72,13
84,2.72,33
85,2.71,34
86,-0.68,9
87,2.81,24
88,0.02,21
89,2.44,20
90,-0.69,10
91,2.83,22
92,2.56,49
93,0.75,30
94,2.61,44
95,-0.06,29
96,2.78,27
97,2.78,27
98,2.61,44
99,2.74,31
100,-0.4,22
101,2.65,40
102,2.62,43
103,1.34,7
104,2.77,28
105,2.74,31
106,2.74,31
107,2.82,23
108,2.77,28
109,2.78,27
110,2.82,23
111,2.68,37
112,2.69,36
113,-0.33,15
114,2.03,20
115,1.95,28
116,0.03,61
117,0.05,18
118,2.82,23
119,2.35,70
120,2.03,20
121,2.81,24
122,2.77,28
123,2.81,24
124,2.82,23
125,2.83,22
126,2.33,31
127,0.44,20
128,2.06,17
129,2.77,28
130,2.84,21
131,2.85,20
132,-0.32,14
133,2.43,21
134,2.8,25
135,2.71,34
136,2.75,30
137,2.81,24
138,2.67,38
139,2.79,26
140,2.79,26
141,2.78,27
142,2.67,38
143,2.74,31
144,-0.27,9
145,0.76,29
146,2.83,22
147,2.67,38
148,2.77,28
149,2.79,26
150,2.78,27
151,2.43,21
152,2.73,32
153,2.87,18
154,2.83,22
155,2.85,20
156,2.82,23
157,2.84,21
158,2.78,27
159,2.85,20
160,2.85,20
161,2.81,24
162,2.68,37
163,2.82,23
164,2.73,32
165,2.78,27
166,2.44,20
167,2.42,22
168,2.82,23
169,2.83,22
170,2.35,29
171,2.67,38
172,0.32,32
173,2.43,21
174,2.4,24
175,2.78,27
176,2.65,40
177,2.81,24
178,2.72,33
179,2.06,17
180,2.79,26
181,2.84,21
182,2.8,25
183,2.88,17
184,2.87,18
185,2.6,45
186,2.84,21
187,2.81,24
188,0.71,34
189,2.79,26
190,2.7,35
191,2.37,27
192,2.85,20
193,2.66,39
194,2.82,23
195,2.79,26
196,2.83,22
197,2.46,18
198,2.74,31
199,2.79,26
200,2.83,22
201,2.85,20
202,2.83,22
203,2.35,29
204,2.82,23
205,2.44,20
206,2.81,24
207,2.74,31
208,-0.66,7
209,2.49,15
210,2.79,26
211,2.77,28
212,2.81,24
213,2.77,28
214,2.86,19
215,2.86,19
216,0.05,18
217,2.73,32
218,2.66,39
219,2.8,25
220,2.85,20
221,2.83,22
222,2.7,35
223,2.4,24
224,2.86,19
225,2.8,25
226,2.78,27
227,2.79,26
228,2.82,23
229,2.86,19
230,2.63,42
231,2.8,25
232,2.7,35
233,2.84,21
234,2.74,31
235,2.78,27
236,2.85,20
237,2.66,39
238,2.71,34
239,2.82,23
240,2.82,23
241,2.84,21
242,2.8,25
243,2.73,32
244,2.58,47
245,2.8,25
246,2.8,25
247,2.47,58
248,2.82,23
249,2.81,24
250,2.84,21
251,2.8,25
252,2.84,21
253,2.83,22
254,2.79,26
255,2.82,23
256,2.83,22
257,2.81,24
258,2.53,52
259,2.58,47
260,2.76,29
261,2.88,17
262,1.8,84
263,2.85,20
264,2.82,23
265,2.84,21
266,2.82,23
267,2.77,28
268,2.79,26
269,2.41,23
270,2.84,21
271,2.84,21
272,2.85,20
273,2.87,18
274,2.87,18
275,2.84,21
276,2.53,52
277,2.76,29
278,2.82,23
279,2.75,30
280,2.79,26
281,2.43,21
282,2.84,21
283,2.05,18
284,2.86,19
285,2.5,55
286,2.83,22
287,2.72,33
288,2.53,52
289,2.05,18
290,2.87,18
291,2.37,27
292,2.85,20
293,2.74,31
294,2.73,32
295,-0.64,5
296,2.85,20
297,0.84,21
298,2.84,21
299,2.46,18
300,2.77,28
