,recom,times
0,-0.01,0
1,-1.1,10
2,-0.23000000000000032,46
3,-0.74,15
4,-1.13,13
5,-1.04,4
6,-0.3900000000000001,21
7,-1.16,16
8,-0.3500000000000001,17
9,2.29,35
10,-0.15000000000000024,38
11,-0.6100000000000003,43
12,-0.8200000000000001,23
13,-0.6900000000000001,10
14,-0.74,15
15,-1.04,4
16,2.51,54
17,-1.07,7
18,2.51,54
19,0.6699999999999997,38
20,2.4999999999999996,55
21,-0.8200000000000001,23
22,-1.06,6
23,2.55,50
24,-0.79,20
25,2.4299999999999997,62
26,-1.1,10
27,-0.32000000000000006,14
28,-0.75,16
29,-0.07000000000000017,30
30,-0.5500000000000002,37
31,0.2899999999999998,35
32,0.04999999999999982,18
33,2.63,42
34,-0.5500000000000002,37
35,-0.1000000000000002,33
36,0.3699999999999999,27
37,-0.4900000000000001,31
38,-1.07,7
39,-0.3600000000000001,18
40,-1.02,2
41,2.25,39
42,0.36999999999999966,68
43,2.0,64
44,2.6999999999999993,35
45,-1.07,7
46,-2.220446049250313e-16,23
47,-0.09000000000000008,32
48,0.1499999999999997,49
49,1.8499999999999999,38
50,2.3,34
51,-0.33000000000000007,15
52,2.67,38
53,2.7399999999999998,31
54,2.3899999999999997,66
55,2.65,40
56,0.32000000000000006,32
57,0.6199999999999994,43
58,-0.33000000000000007,15
59,-1.07,7
60,-1.15,15
61,2.6199999999999997,43
62,2.2699999999999996,37
63,2.67,38
64,-0.64,5
65,2.6599999999999997,39
66,2.6399999999999997,41
67,2.7,35
68,-0.4700000000000001,29
69,2.6499999999999995,40
70,-0.9400000000000001,35
71,2.79,26
72,2.8,25
73,0.08999999999999986,14
74,2.7299999999999995,32
75,-0.17000000000000037,40
76,-0.43000000000000016,25
77,2.3899999999999997,66
78,0.040000000000000036,19
79,2.6199999999999997,43
80,-0.18000000000000016,41
81,1.8899999999999995,75
82,2.1199999999999997,52
83,2.6899999999999995,36
84,2.59,46
85,-0.3600000000000001,18
86,2.2199999999999998,42
87,2.71,34
88,-1.07,7
89,2.7499999999999996,30
90,2.53,52
91,2.29,35
92,2.38,26
93,-2.220446049250313e-16,23
94,2.29,35
95,2.6699999999999995,38
96,2.67,38
97,2.7,35
98,2.75,30
99,2.7700000000000005,28
100,2.75,30
101,2.7300000000000004,32
102,0.4399999999999997,20
103,2.83,22
104,2.6399999999999997,41
105,2.7499999999999996,30
106,2.67,38
107,2.3199999999999994,32
108,2.65,40
109,2.5399999999999996,51
110,2.75,30
111,2.23,41
112,2.8299999999999996,22
113,-0.060000000000000164,29
114,2.63,42
115,2.7,35
116,1.6099999999999994,62
117,-0.78,19
118,-0.73,14
119,2.6199999999999997,43
120,-1.03,3
121,2.3399999999999994,71
122,2.5299999999999994,52
123,2.4799999999999995,57
124,2.7,35
125,2.7699999999999996,28
126,2.73,32
127,2.56,49
128,0.6999999999999997,35
