,recom,times
0,-0.01,0
1,-1.02,2
2,-1.17,17
3,-0.4800000000000002,30
4,-1.17,17
5,-1.1099999999999999,11
6,-1.08,8
7,-1.29,29
8,-1.04,4
9,-1.06,6
10,0.4099999999999995,64
11,-0.6699999999999999,8
12,-1.04,4
13,-0.8700000000000001,28
14,-1.12,53
15,-0.14000000000000012,37
16,-1.05,5
17,-0.14000000000000024,37
18,2.65,40
19,-0.76,17
20,-1.1199999999999999,12
21,-0.5900000000000001,41
22,-1.04,4
23,-0.4600000000000002,28
24,-1.03,3
25,1.7299999999999998,50
26,-0.10000000000000009,33
27,-0.45000000000000007,27
28,2.3999999999999995,65
29,2.3899999999999997,66
30,-0.18000000000000027,41
31,-0.04000000000000015,27
32,-0.43000000000000005,25
33,2.3,75
34,-1.03,3
35,2.4799999999999995,57
36,-0.32000000000000006,14
37,-0.17000000000000015,40
38,-0.04000000000000015,27
39,2.28,36
40,2.5,55
41,-0.76,17
42,2.76,29
43,-1.14,14
44,2.34,71
45,0.1499999999999997,49
46,-0.7,11
47,0.2999999999999998,34
48,2.29,35
49,0.5999999999999996,45
50,2.5199999999999996,53
51,0.69,36
52,-0.020000000000000018,25
53,2.6399999999999997,41
54,-1.02,2
55,0.040000000000000036,19
56,0.2799999999999998,36
57,2.6100000000000003,44
58,-0.08000000000000018,31
59,-0.69,10
60,2.6799999999999997,37
61,-1.06,6
62,2.7199999999999998,33
63,-0.76,17
64,0.20999999999999974,43
65,1.8599999999999999,37
66,2.4699999999999998,58
67,-0.3500000000000001,17
68,-1.1099999999999999,11
69,2.71,34
70,0.020000000000000018,21
71,2.76,29
72,2.55,50
73,2.09,55
74,2.6599999999999997,39
75,2.71,34
76,2.25,39
77,2.6999999999999993,35
78,0.05999999999999983,17
79,2.71,34
80,2.74,31
81,2.3599999999999994,28
82,0.07999999999999985,15
83,-0.44000000000000017,26
84,2.6799999999999997,37
85,-0.74,15
86,2.75,30
87,-1.08,8
88,-0.72,13
89,0.6799999999999997,37
90,2.55,50
91,2.6699999999999995,38
92,2.7399999999999998,31
93,2.7399999999999998,31
94,2.6499999999999995,40
95,2.59,46
96,2.6599999999999997,39
97,2.5299999999999994,52
98,2.5999999999999996,45
99,2.7699999999999996,28
100,-0.7,11
101,2.7299999999999995,32
102,2.2699999999999996,37
103,-1.1199999999999999,12
104,-1.04,4
105,2.5199999999999996,53
106,2.75,30
107,2.82,23
108,2.72,33
109,2.6599999999999997,39
110,2.7399999999999998,31
111,2.4999999999999996,55
112,2.6799999999999997,37
113,2.5999999999999996,45
114,-0.33000000000000007,56
115,-0.29000000000000004,11
116,0.41999999999999993,22
117,2.8200000000000003,23
118,2.83,22
119,2.74,31
120,2.7199999999999998,33
121,2.45,19
122,-0.4700000000000002,29
123,2.7899999999999996,26
124,2.84,21
125,-0.3600000000000001,18
126,2.74,31
127,2.7800000000000002,27
128,0.7699999999999998,28
129,2.6999999999999997,35
130,2.83,22
131,2.8,25
132,2.7199999999999998,33
133,2.7199999999999998,33
134,2.6100000000000003,44
135,2.8199999999999994,23
136,2.82,23
137,2.59,46
138,2.76,29
139,2.33,72
140,2.7799999999999994,27
141,2.05,18
142,2.83,22
143,2.13,51
144,2.0300000000000002,20
145,-0.08000000000000018,31
146,2.7899999999999996,26
147,2.79,26
148,2.34,30
149,2.8099999999999996,24
150,2.74,31
151,2.78,27
152,2.7800000000000002,27
153,2.77,28
154,2.3899999999999997,66
155,2.79,26
156,2.86,19
157,2.42,22
158,2.79,26
159,2.7199999999999998,33
160,2.82,23
161,2.329999999999999,72
162,2.78,27
163,2.74,31
164,2.81,24
165,2.5999999999999996,45
166,2.85,20
167,2.82,23
168,2.8099999999999996,24
169,2.77,28
170,2.8,25
171,2.7699999999999996,28
172,2.7700000000000005,28
173,-1.03,3
174,2.1899999999999995,45
175,2.84,21
176,2.84,21
177,2.84,21
178,1.3299999999999994,172
179,2.87,18
180,2.8099999999999996,24
181,2.7,35
182,2.8099999999999996,24
183,2.8299999999999996,22
184,2.79,26
185,2.75,30
186,2.87,18
187,0.08999999999999986,14
188,2.7799999999999994,27
189,2.84,21
190,2.8299999999999996,22
191,2.79,26
192,2.58,47
193,2.79,26
194,2.05,18
195,2.8299999999999996,22
196,2.7199999999999998,33
197,2.6999999999999997,35
198,2.42,22
199,2.42,22
200,2.3499999999999996,70
201,2.7799999999999994,27
202,2.51,54
203,2.8200000000000003,23
204,2.4299999999999997,21
205,2.12,52
206,2.8099999999999996,24
207,2.5399999999999996,51
208,2.8,25
209,2.5599999999999996,49
210,2.6799999999999997,37
211,2.71,34
212,2.4299999999999997,21
213,2.86,19
214,2.8099999999999996,24
215,2.8200000000000003,23
216,2.83,22
217,2.8099999999999996,24
218,2.69,36
219,2.84,21
220,2.8,25
221,2.83,22
222,2.8099999999999996,24
223,0.06999999999999984,16
224,2.8,25
225,2.71,34
226,0.1299999999999999,51
227,2.82,23
228,2.8,25
229,2.8200000000000003,23
230,2.7800000000000002,27
231,2.8,25
232,2.8099999999999996,24
233,2.82,23
234,2.8200000000000003,23
235,2.8499999999999996,20
236,2.65,40
237,2.6399999999999997,41
238,2.8400000000000003,21
239,2.87,18
240,2.8099999999999996,24
241,2.7199999999999998,33
242,2.8299999999999996,22
243,2.7699999999999996,28
244,2.76,29
245,2.57,48
246,2.8200000000000003,23
247,2.84,21
248,2.1399999999999997,91
249,2.87,18
250,2.84,21
251,2.6699999999999995,38
252,2.79,26
253,2.69,36
254,2.5999999999999996,45
255,2.1499999999999995,90
256,2.8,25
257,2.4499999999999997,19
258,2.78,27
259,2.85,20
260,2.8099999999999996,24
261,2.8299999999999996,22
262,2.82,23
263,2.8499999999999996,20
264,2.8,25
265,2.8,25
266,2.8200000000000003,23
267,2.86,19
268,2.7499999999999996,30
269,2.82,23
270,2.8,25
271,2.79,26
272,2.8600000000000003,19
273,2.3699999999999997,27
274,2.74,31
275,2.42,63
276,2.86,19
277,2.8499999999999996,20
278,0.6799999999999984,196
279,2.84,21
280,2.65,40
281,2.83,22
282,2.8499999999999996,20
283,2.6199999999999997,43
284,2.88,17
285,2.8099999999999996,24
286,2.71,34
287,2.8099999999999996,24
288,2.61,44
289,2.7399999999999993,31
290,2.78,27
291,2.82,23
292,2.7399999999999998,31
293,2.44,20
294,2.8099999999999996,24
295,2.8499999999999996,20
296,2.8099999999999996,24
297,2.86,19
298,2.84,21
299,2.73,32
300,2.75,30
301,2.82,23
302,2.8000000000000003,25
303,2.8600000000000003,19
304,2.83,22
305,2.83,22
306,2.77,28
307,2.6799999999999997,37
308,2.85,20
309,2.84,21
310,2.8499999999999996,20
311,2.78,27
312,2.8499999999999996,20
313,2.49,15
314,2.83,22
315,2.8,25
