,recom,times
0,0.0,0
1,-1.0,4
2,-1.0,13
3,-1.0,11
4,-0.6,12
5,-0.81,25
6,-0.75,24
7,-0.66,22
8,-0.34,24
9,-1.0,8
10,-1.05,28
11,-1.0,5
12,-1.1,23
13,-3.36,48
14,-5.42,53
15,-0.98,31
16,-2.76,40
17,-1.0,7
18,-1.0,8
19,-1.0,4
20,-0.6,8
21,-1.0,9
22,-1.77,39
23,-0.2,16
24,-1.0,4
25,-1.0,12
26,-2.91,40
27,-1.62,41
28,-1.69,36
29,-1.0,8
30,-1.0,6
31,-5.67,54
32,-1.0,5
33,-6.22,63
34,-0.81,25
35,-0.6,17
36,-0.65,28
37,-3.11,47
38,-0.6,18
39,-1.48,37
40,-2.4,53
41,-1.0,8
42,1.02,40
43,-1.0,2
44,1.49,37
45,-1.37,39
46,0.75,36
47,-0.6,15
48,0.58,42
49,1.77,35
50,-2.23,39
51,-1.0,5
52,0.9,40
53,-3.61,55
54,-2.63,54
55,-1.0,4
56,-1.28,49
57,-0.47,46
58,-0.13,27
59,0.37,42
60,-5.0,61
61,1.19,39
62,1.16,39
63,1.6,30
64,-0.44,30
65,2.71,27
66,0.19,28
67,-7.72,67
68,2.56,29
69,-0.6,7
70,1.51,37
71,-1.0,3
72,0.85,38
73,-0.2,17
74,-0.2,17
75,-1.0,4
76,0.79,41
77,2.0,30
78,1.99,33
79,-3.68,57
80,0.13,44
81,-0.65,28
82,-3.39,56
83,2.33,26
84,1.26,35
85,2.45,30
86,1.17,39
87,-0.2,11
88,2.57,29
89,1.46,34
90,-1.21,25
91,-0.05,44
92,2.59,28
93,1.07,40
94,2.45,30
95,2.48,29
96,-1.03,21
97,1.49,34
98,2.97,21
99,2.0,34
100,-0.6,7
101,1.26,35
102,2.5,23
103,0.9,40
104,-1.0,4
105,1.76,32
106,0.27,44
107,1.9,34
108,1.54,30
109,2.51,23
110,2.85,24
111,2.91,23
112,2.92,23
113,2.48,24
114,2.64,28
115,2.86,24
116,0.22,42
117,1.8,15
118,2.87,24
119,2.57,28
120,-1.17,49
121,2.33,26
122,0.86,40
123,2.88,24
124,-0.81,46
125,-1.0,4
126,2.53,29
127,1.78,32
128,2.33,31
129,2.92,23
130,-3.99,58
131,2.46,24
132,2.15,33
133,0.2,12
134,-1.2,49
135,2.8,25
136,2.88,24
137,-2.43,42
138,-0.6,15
139,2.97,21
140,2.15,28
141,2.62,28
142,2.7,27
143,2.07,34
144,3.0,19
145,-1.75,53
146,2.97,21
147,-6.67,64
148,2.94,22
149,2.2,18
150,2.03,34
151,2.6,16
152,2.76,26
153,2.21,32
154,2.94,22
155,2.97,21
156,2.86,24
157,2.97,21
158,2.95,22
159,2.77,26
160,2.22,28
161,2.7,27
162,2.37,26
163,-1.46,36
164,-3.6,57
165,2.54,22
166,2.97,21
167,2.28,32
168,1.9,35
169,-0.07,45
170,-0.34,47
171,2.92,23
172,2.95,22
173,2.5,30
174,-0.2,12
175,2.97,21
176,-1.0,8
177,0.4,44
178,2.66,28
179,2.84,25
180,2.47,30
181,2.9,23
182,2.81,25
183,2.97,21
184,2.97,21
185,2.91,23
186,2.9,23
187,3.0,19
188,2.58,28
189,2.2,33
190,2.99,20
191,-1.39,50
192,2.88,24
193,2.94,22
194,2.88,24
195,2.6,18
196,2.28,32
197,2.2,13
198,-1.0,17
199,2.88,24
200,2.37,26
201,2.67,28
202,2.81,25
203,2.99,20
204,2.97,21
205,3.0,18
206,2.97,21
207,2.95,22
208,1.8,18
209,2.97,21
210,-0.04,44
211,2.91,23
212,2.72,27
213,2.73,26
214,2.87,24
215,2.5,30
216,2.6,17
217,-2.92,48
218,2.2,18
219,2.97,21
220,2.88,24
221,2.99,20
222,2.99,20
223,2.61,28
224,2.82,25
225,2.97,21
226,1.98,35
227,3.0,18
228,2.6,17
229,2.73,27
230,2.81,25
231,2.73,27
232,3.0,19
233,1.7,33
234,2.91,23
235,2.6,16
236,2.99,20
237,2.88,24
238,2.97,21
239,2.79,26
240,2.72,27
241,2.73,27
242,2.95,22
243,-3.02,56
244,1.97,31
245,-0.65,48
246,3.0,19
247,2.97,21
248,2.76,26
249,2.78,26
250,2.6,18
251,3.0,19
252,2.97,21
253,2.94,22
254,2.97,21
255,2.92,23
256,3.0,19
257,3.0,19
258,3.0,19
259,2.53,29
260,2.94,22
261,2.83,25
262,2.88,24
263,2.95,22
264,2.95,22
265,0.34,45
266,1.95,33
267,1.82,33
268,3.0,19
269,2.97,21
270,3.0,17
271,2.97,21
272,3.0,18
273,1.64,37
274,3.0,19
275,0.87,38
276,2.56,29
277,2.97,21
278,-0.43,43
279,2.91,23
280,-0.79,49
281,2.92,23
282,3.0,18
283,2.99,20
284,2.02,35
285,3.0,19
286,2.97,21
287,2.99,20
288,3.0,19
289,2.95,22
290,2.81,25
291,2.9,23
292,3.0,18
293,3.0,17
294,2.95,22
295,2.92,23
296,1.87,35
297,1.55,37
298,2.85,24
299,2.97,21
300,3.0,19
