,prom recom,prom time,Des Es
0,-0.16,4.8,0.722956891
1,-1.552,21,1.364883389
2,-1.092,20.3,0.510420306
3,-1.902,26,2.214290957
4,-1.347,22.4,0.875684494
5,-1.317,21.4,1.426526862
6,-1.701,25,1.957046811
7,-1.011,19.2,0.936143982
8,-1.79,22.1,1.85199592
9,-1.047,15.7,0.786752114
10,-3.084,32.8,4.323134665
11,-1.164,19.6,0.970901071
12,-3.588,31.6,4.303427058
13,-2.282,28.8,2.805228452
14,-2.199,26.2,3.917869177
15,-1.56,28.9,2.031294059
16,-2.435,28.4,3.754399641
17,-0.449,17,1.049597277
18,-1.633,21.8,2.327855713
19,-3.539,34,5.366533021
20,-1.207,19.5,1.508921985
21,-1.284,22.1,1.209932964
22,-0.647,27.9,1.745400623
23,-1.589,29.8,1.829744669
24,-2.043,20.8,4.187959063
25,-2.215,33.9,3.738651718
26,-3.139,41.9,4.576117836
27,-1.467,30.6,2.363119642
28,-1.001,30.4,0.93577597
29,-2.602,29.5,4.549859094
30,-0.862,24.9,2.119008154
31,-2.233,36.5,2.914729071
32,-1.582,23.8,2.040897406
33,-1.116,22.8,1.964033265
34,-1.037,28.3,2.210078179
35,-0.826,21.4,1.278985709
36,-0.468,27.7,1.678119318
37,-1.406,32.4,1.983342857
38,-1.009,33.1,1.364245416
39,-2.529,37.4,2.997819393
40,-1.31,32.8,1.775299662
41,-1.599,31.1,2.010933725
42,-0.478,27.5,1.575230495
43,-1.162,24.1,1.403113997
44,0.049,29.7,2.046050124
45,-1.072,28.5,1.592404192
46,-0.306,26.1,1.666747998
47,-0.039,24.8,1.074165826
48,-0.364,37,2.544707798
49,-0.823,31.4,1.96456413
50,-0.429,25.4,1.354469556
51,-0.014,24.2,1.196960967
52,-0.724,32.9,2.454434535
53,-0.39,28.8,1.478768256
54,-0.542,39,2.202719531
55,0.01,33.1,1.641381532
56,-0.895,33.5,1.510424885
57,-2.382,36.5,5.332414087
58,0.247,33.3,1.517717951
59,-0.792,38.2,2.757211957
60,0.679,35.6,2.24674802
61,0.073,22.5,0.99380358
62,-0.324,32.1,2.820154448
63,0.502,32.7,1.193405957
64,0.486,27.8,1.538579431
65,0.36,25.6,1.249337602
66,0.004,26.6,1.697286724
67,0.865,34.6,3.114747181
68,0.113,31.7,1.579986287
69,-0.516,33,2.9001272
70,1.03,28.9,1.274005058
71,0.56,29.2,3.209832117
72,0.14,39,3.186928162
73,-0.446,32.1,1.519709036
74,-0.163,20.6,1.915736296
75,-0.854,32.7,2.639487324
76,1.007,29.9,1.259638837
77,1.161,31.1,0.994020456
78,0.056,33.3,2.251543668
79,0.187,25.7,1.762164389
80,0.596,35.5,2.174003987
81,0.553,29.8,1.437328154
82,0.15,33.4,2.090985945
83,0.444,31.8,3.227882691
84,0.944,31.8,1.530346366
85,1.037,31.3,1.232504677
86,1.149,33.6,1.363854424
87,0.093,34.5,2.147137888
88,1.321,35.9,1.730384992
89,0.203,32.7,2.399745588
90,0.385,37.4,2.382875247
91,-0.141,37.5,2.697910508
92,0.495,19.9,1.61183298
93,0.73,21.2,1.320042087
94,2.022,31.4,0.55924155
95,1.721,28.8,1.143459177
96,1.59,29.5,1.281492186
97,1.763,32.3,0.94226736
98,1.765,29.1,1.786127095
99,0.758,29.2,1.807944198
100,1.419,30.2,1.403190412
101,1.263,30.2,1.117119809
102,1.091,31.7,1.826565995
103,1.086,33.3,1.831436595
104,0.834,31.5,2.580943841
105,1.117,36.7,1.46292743
106,0.846,32.7,2.533768384
107,1.223,33.1,1.400381297
108,1.513,30.6,1.094928207
109,1.287,27.4,1.810457585
110,2.437,27.7,0.635977812
111,2.451,27.3,0.352150536
112,1.256,35.6,1.871726476
113,0.737,32.5,2.861794503
114,1.512,31.1,1.69271511
115,1.753,28.9,1.21778533
116,1.029,37.7,1.674696988
117,1.294,30.5,2.223806546
118,1.43,37.7,1.501192119
119,1.852,31.5,1.538460991
120,1.576,35.5,1.482147091
121,2.214,28.2,1.105634056
122,1.458,26.1,1.450316441
123,1.327,27.6,1.374417452
124,1.504,28,1.479701171
125,1.611,25.2,1.446593316
126,1.242,35.3,1.589757494
127,1.345,30.3,1.411218937
128,1.565,26.2,1.333302083
129,2.463,28.1,0.317911588
130,1.632,31.1,2.088475255
131,1.125,30.2,1.44209146
132,1.415,33.9,1.226777622
133,1.399,26.7,1.976542717
134,1.48,29.1,1.591274821
135,1.056,31,4.055559148
136,1.623,31.7,1.497064164
137,0.748,32.8,2.132785346
138,1.301,27.7,2.633082056
139,2.121,30.2,1.127981974
140,0.699,34.8,2.872898072
141,1.278,32.9,2.124004603
142,1.337,31.8,1.548727435
143,1.998,30.3,1.504333001
144,2.811,24,0.192610719
145,0.858,35,3.367764837
146,1.543,30.8,1.82353777
147,1.11022E-17,30.7,3.618996178
148,2.347,27.6,0.915278343
149,2.187,28.1,1.221593222
150,2.514,26.6,0.46978009
151,2.08,26,1.247495268
