,prom recom,prom time,Des Es
0,0.228,24,0.899515919
1,-0.927,25.5,0.276125978
2,-0.518,25.6,0.567329025
3,-0.691,18.3,0.527119004
4,-0.909,23.7,0.333748075
5,-0.73,30.4,0.559861094
6,-0.392,24.8,1.057500197
7,-0.514,21.1,0.591480252
8,-0.561,29.9,0.408940365
9,0.615,33.3,1.689787955
10,-0.077,30.2,1.151665943
11,-0.121,30,1.171053182
12,-0.247,26.7,0.935094172
13,-0.491,26.5,1.038101365
14,0.041,30.2,1.282042208
15,0.305,23.3,1.705248434
16,0.108,31.2,1.578577419
17,-0.291,18.8,1.10910825
18,-0.801,21.1,0.435850382
19,0.559,34.8,1.502223907
20,-0.125,30.9,1.003286267
21,1.006,34.2,1.386043129
22,-0.373,14.7,0.910409554
23,0.387,23.3,1.784937285
24,0.288,25.5,1.4241161
25,0.238,26.4,1.403644463
26,-0.295,19.2,1.045235221
27,0.742,28.8,1.673942784
28,0.759,26.6,1.528735498
29,0.421,37.3,1.213731162
30,0.846,38.4,1.68524446
31,0.316,26.8,1.621763101
32,0.401,26,1.780083956
33,0.862,24.5,1.796816939
34,0.624,24.2,1.767642498
35,0.242,21.9,1.648802933
36,0.419,20.1,1.72711352
37,0.838,39.7,1.28994229
38,0.173,20.6,1.645823333
39,-0.117,21.9,1.108963981
40,2.109,37.2,1.12500321
41,1.086,26.7,1.653771447
42,1.315,36.1,1.544756363
43,1.91,37.1,1.542249439
44,0.583,28.3,1.682082373
45,1.703,29.6,1.534217499
46,0.229,23.2,1.534669345
47,1.817,38.2,1.35626161
48,0.99,28.1,1.664118051
49,0.063,19.8,1.311911667
50,1.562,31.9,1.206710865
51,1.448,31,1.561721273
52,1.635,32.3,1.642783884
53,1.483,27.5,1.407756687
54,0.006,21.9,1.040418719
55,1.687,31.2,1.60970011
56,0.82,42,1.386394204
57,1.664,37.6,1.431892299
58,1.786,29.5,1.509740228
59,1.169,30.7,1.606489963
60,2.229,33.4,0.985477324
61,2.523,48.6,0.182638076
62,1.875,28.8,1.399867057
63,1.454,38.1,1.454045697
64,2.162,27.8,1.148359216
65,1.962,40.1,1.264803893
66,1.992,33.5,1.11559451
67,1.47,36.5,1.333174991
68,1.601,43.9,1.447775689
69,1.258,30,1.550331864
70,1.174,33.8,1.774368119
71,1.553,28.2,1.230239814
72,1.712,28.7,1.677026469
73,0.932,25.7,1.859789713
74,2.245,31.8,0.923522845
75,1.946,37.6,1.417299467
76,1.23,24.1,1.926378294
77,2.033,33,1.331774505
78,1.542,25.2,1.365314779
79,0.971,22.3,1.505253393
80,0.632,19.3,1.839002145
81,2.077,28.6,0.920290413
82,1.839,27.8,1.251039124
83,1.647,31.1,1.529422912
84,2.667,38.3,0.087692645
85,2.251,35.3,1.187625549
86,2.022,25.9,1.294362134
87,2.674,33.5,0.174241212
88,0.86,21.1,1.57879701
89,2.139,26.5,1.197380938
90,2.011,31.1,1.345440448
91,2.024,25.7,1.570931783
92,2.026,25.5,1.300642576
93,2.235,29.2,1.105423499
94,2.349,37.8,0.833339333
95,1.665,25.7,1.482619679
96,1.332,26.7,1.539984127
97,2.119,28.5,1.329163898
98,0.754,23.5,1.733283333
99,2.677,37.3,0.083273312
100,2.253,26.9,0.944305153
101,2.727,32.3,0.076165026
102,2.29,27.3,1.200805285
103,1.606,28.5,1.181921223
104,1.933,30.2,0.924494456
105,2.386,45.9,0.269987654
106,2.551,29.9,0.668721001
107,2.572,27.8,0.613076033
108,2.414,27.2,1.090394424
109,2.607,27.9,0.180742297
110,2.574,31.2,0.388049252
111,2.404,28.2,0.946410764
112,1.602,39.7,1.556611705
113,2.38,34.7,0.955068351
114,2.439,28.8,0.792064111
115,1.575,26,1.595906221
116,1.723,27.6,1.738773834
117,2.057,30.6,0.991139075
118,2.667,38.3,0.12138552
119,2.305,30.4,0.85246375
120,2.463,25.9,0.354778491
121,2.169,23,0.982383157
122,1.903,29.6,1.608643666
123,2.269,29.4,0.903652465
124,2.498,30.6,0.388953011
125,1.964,21.6,1.384639544
126,2.315,24.8,1.060034067
127,2.524,28.5,0.740798368
128,1.764,23.5,1.455115116
129,2.402,36.6,0.88591196
130,1.674,28.9,1.338284142
131,2.276,29.2,1.014858501
132,1.998,32.4,1.428190775
133,1.667,25,1.367715451
134,2.341,26.3,0.947563542
135,2.584,30.2,0.235050822
136,2.379,26.6,1.15008647
137,2.722,32.8,0.137743723
138,1.56,27.5,1.744381457
139,2.673,25.4,0.160281003
140,2.26,34.4,0.837137981
141,2.336,26.8,0.694361417
142,2.73,27.9,0.146287388
143,2.751,29.9,0.050651313
144,1.791,33.6,1.269255687
145,2.532,31.8,0.627425073
146,2.718,29.1,0.13264824
147,2.678,37.2,0.066298986
148,2.645,28.2,0.174116819
149,2.691,31.8,0.137230544
150,2.448,27.9,0.988790507
151,2.035,28.7,1.394331779
152,2.13,27.4,1.270896447
153,2.468,21.8,1.159145279
154,2.658,26.9,0.260503785
155,2.574,27.1,0.376539802
156,2.724,28.5,0.166145853
157,2.7,26.8,0.244313096
158,2.644,36.5,0.260691388
159,2.704,26.4,0.195630036
160,2.212,26.9,1.044028522
161,2.713,29.6,0.151147463
162,2.157,28.8,1.132392256
163,2.743,30.7,0.06254776
164,2.575,31.1,0.311742415
165,2.684,24.3,0.173730315
166,2.693,27.5,0.157271881
167,2.721,24.7,0.144179672
168,2.684,24.3,0.176269995
169,2.534,27,0.378188665
170,2.696,27.2,0.183254529
171,2.034,24.7,1.259860662
172,2.054,30.9,1.197981636
173,2.589,31.9,0.395487042
174,2.752,25.7,0.128996124
175,2.622,26.4,0.171580885
176,2.386,25.9,1.009226326
177,2.422,26.4,0.963036863
178,2.789,26.1,0.045813632
179,2.663,30.5,0.240834198
180,2.372,23.2,1.199988889
181,2.772,27.8,0.081894241
182,2.755,25.4,0.10384283
183,2.749,30.1,0.130592666
184,2.749,26,0.116661905
185,2.227,29.5,1.028105593
186,2.741,22.7,0.14639748
187,2.497,27.1,0.750452456
188,2.543,30.7,0.647028249
189,2.705,26.3,0.236748812
190,2.654,39.6,0.162904198
191,2.591,25.4,0.180828341
192,2.272,37.3,1.180760584
193,2.641,28.6,0.153220973
194,2.522,24.6,0.89681907
195,2.745,26.4,0.15094149
196,2.551,21.7,0.872600838
197,2.724,24.4,0.137614599
198,2.707,30.2,0.130132411
199,2.53,23.8,0.861355521
200,2.732,23.6,0.234795419
201,2.781,22.8,0.14231811
202,2.327,27.7,0.95227272
203,2.551,25.3,0.292591866
204,2.749,26,0.1563081
205,2.719,24.9,0.21537822
206,2.557,25.2,0.742039981
207,2.341,30.4,1.190867564
208,2.184,26.1,1.24498282
209,2.493,18.8,0.332567453
210,2.515,25.3,0.874239352
211,2.744,26.5,0.121399249
212,2.708,34.2,0.152227899
213,2.607,27.9,0.213960017
214,2.775,27.5,0.112570965
215,2.524,23.9,0.34538867
216,2.432,29.5,0.860823895
217,2.749,30.1,0.118457681
218,2.597,24.8,0.217207019
219,2.166,31.5,0.844737961
220,2.675,25.2,0.191847741
221,2.465,28.2,0.472211111
222,2.47,21.6,0.59494164
223,2.682,28.6,0.201869044
224,2.437,20.8,0.852174343
225,2.82,23,0.036209268
226,2.607,32,0.283668429
227,2.67,33.9,0.254907391
228,2.751,25.8,0.128101522
229,2.681,24.6,0.195075484
230,2.383,26.2,1.24649776
231,2.421,22.4,0.622583328
232,2.772,27.8,0.043410188
233,2.624,30.3,0.298410605
234,2.674,33.5,0.260392866
235,2.769,28.1,0.059525905
236,2.781,26.9,0.120041659
237,2.792,25.8,0.085348957
238,2.717,29.2,0.147576722
239,2.736,31.4,0.255916653
240,2.708,21.9,0.266157848
241,2.76,24.9,0.101871379
242,2.688,28,0.189431899
243,2.684,36.6,0.250119971
244,2.738,27.1,0.138226867
245,2.791,25.9,0.076948756
246,2.678,24.9,0.240129595
247,2.773,27.7,0.129876009
248,2.607,27.9,0.263356539
249,2.656,23,0.191148575
250,2.68,20.6,0.171529071
251,2.807,24.3,0.025407785
252,2.728,24,0.33095149
253,2.761,28.9,0.160239404
254,2.688,23.9,0.149799866
255,2.758,21,0.235409808
256,2.766,28.4,0.114717043
257,2.771,23.8,0.145483867
258,2.728,32.2,0.188314158
259,2.617,25,0.331094146
260,1.781,22.3,1.320222624
261,2.814,23.6,0.086435589
262,2.709,30,0.321539699
263,2.708,21.9,0.171904366
264,2.805,24.5,0.063813966
265,2.712,29.7,0.150687314
266,2.75,25.9,0.117567947
267,2.704,22.3,0.172123986
268,2.673,23.5,0.525167698
269,2.485,28.3,0.608299086
270,2.709,30,0.239418276
