,recom,times
0,-0.21,20
1,-4.69,51
2,-1.46,32
3,-1.0,3
4,-0.75,24
5,-1.0,10
6,-1.2,33
7,-1.26,30
8,-0.6,11
9,-3.58,47
10,-2.38,44
11,-0.88,26
12,-0.2,17
13,-1.0,9
14,-0.15,27
15,-0.75,29
16,-1.0,13
17,-2.73,42
18,-1.0,9
19,-1.0,2
20,-2.05,33
21,-1.0,9
22,-4.05,57
23,-1.0,11
24,-1.0,5
25,-1.0,6
26,-1.0,4
27,-5.93,57
28,-1.0,10
29,-0.6,11
30,-4.22,58
31,-0.67,35
32,-1.92,42
33,-2.07,51
34,-1.0,7
35,1.27,36
36,-0.6,15
37,0.35,43
38,-0.63,21
39,-0.2,18
40,-6.55,55
41,-3.72,57
42,-1.0,6
43,-12.91,75
44,1.29,38
45,0.05,24
46,-0.6,13
47,-0.16,27
48,1.83,35
49,-3.99,50
50,-5.62,55
51,-1.0,7
52,1.63,36
53,-0.04,26
54,0.57,39
55,-1.0,3
56,0.25,40
57,-1.0,13
58,-0.6,18
59,1.83,34
60,-1.0,11
61,1.15,39
62,-0.39,25
63,-1.49,49
64,-1.9,37
65,1.54,30
66,-1.0,3
67,-7.01,65
68,-1.0,9
69,-0.63,21
70,2.61,28
71,-0.08,44
72,0.6,19
73,-0.66,46
74,-0.6,16
75,-0.94,48
76,-3.16,55
77,-0.2,14
78,-1.0,7
79,-0.79,47
80,-2.68,55
81,-3.08,54
82,-3.48,47
83,-0.96,48
84,1.85,34
85,2.1,33
86,-0.04,41
87,2.86,24
88,2.49,30
89,-1.06,22
90,-7.96,66
91,1.65,29
92,-1.28,39
93,0.07,24
94,2.57,28
95,2.62,28
96,2.1,32
97,2.49,29
98,-6.08,57
99,-1.0,19
100,-0.53,47
101,-0.83,48
102,-0.9,44
103,0.48,43
104,2.67,27
105,-0.75,24
106,0.2,15
107,1.84,35
108,0.01,43
109,1.92,31
110,2.3,27
111,1.25,35
112,1.31,38
113,2.94,22
114,1.73,33
115,1.19,38
116,-5.3,62
117,0.4,43
118,-4.04,58
119,-0.6,17
120,2.32,27
121,2.22,31
122,-2.59,53
123,-2.75,55
124,-5.99,64
125,2.57,21
126,-1.12,50
127,0.96,40
128,2.99,20
129,2.48,24
130,2.82,25
131,2.46,29
132,1.41,38
133,1.89,23
134,1.14,40
135,-18.16,87
136,-0.6,11
137,-0.75,46
138,2.6,15
139,-0.5,47
140,0.95,33
141,0.2,16
142,0.6,17
143,2.06,30
144,2.6,18
145,-0.6,11
146,-8.35,68
147,1.29,39
148,-2.99,51
149,-3.83,59
150,2.71,27
151,0.74,41
152,2.73,27
153,-1.43,50
154,1.95,34
155,1.4,38
156,0.93,40
157,-0.26,45
158,1.87,34
159,-8.04,68
160,2.94,22
161,-8.84,70
162,2.95,22
163,2.54,29
164,2.83,25
165,1.85,34
166,2.41,31
167,2.36,30
168,-2.23,53
169,2.6,18
170,2.6,18
171,-2.02,50
172,-4.36,60
173,-2.98,56
174,2.82,25
175,2.67,27
176,0.82,39
177,-3.28,56
178,2.72,26
179,-4.22,56
180,2.44,30
181,1.08,40
182,-4.87,61
183,2.5,30
184,2.6,28
185,2.76,26
186,2.95,22
187,2.95,22
188,2.05,29
189,-0.72,48
190,2.03,34
191,1.39,36
192,-2.28,51
193,1.55,33
194,2.97,21
195,0.63,42
196,-0.04,46
197,0.72,42
198,1.87,31
199,2.82,25
200,2.88,24
201,2.39,31
202,-11.49,74
203,2.79,26
204,2.88,24
205,2.53,29
206,1.93,22
207,2.85,24
208,2.73,27
209,2.69,27
210,2.36,26
211,2.73,27
212,-4.18,58
213,2.81,25
214,-6.17,63
215,2.99,20
216,1.56,38
217,2.77,26
218,2.83,25
219,2.83,25
220,2.54,22
221,2.6,17
222,2.09,34
223,1.05,37
224,1.88,36
225,2.81,25
226,2.53,29
227,-21.43,88
228,2.19,29
229,2.9,23
230,2.73,27
231,-6.76,65
232,2.97,21
233,2.52,29
234,2.97,21
235,2.94,22
236,-3.85,57
237,-0.78,46
238,-13.15,74
239,2.92,23
240,2.35,31
241,2.99,20
242,3.0,19
243,0.74,42
244,2.97,21
245,2.95,22
246,2.92,23
247,2.6,16
248,2.39,25
249,2.99,20
250,2.95,22
251,2.79,26
252,2.99,20
253,-0.78,48
254,-0.25,44
255,2.2,17
256,1.56,36
257,2.47,30
258,-1.28,51
259,2.87,24
260,2.91,23
261,2.6,16
262,2.94,22
263,2.88,24
264,-1.08,50
265,-4.47,60
266,2.6,19
267,2.94,22
268,2.97,21
269,2.6,18
270,3.0,19
271,0.18,44
272,2.97,21
273,2.97,21
274,2.51,30
275,2.95,22
276,2.97,21
277,2.97,21
278,2.99,20
279,2.97,21
280,2.97,21
281,1.47,38
282,0.67,42
283,1.65,29
284,2.83,25
285,2.0,17
286,1.67,36
287,-0.61,42
288,2.99,20
289,2.95,22
290,2.97,21
291,-14.61,82
292,2.99,20
293,2.94,22
294,-1.37,49
295,2.92,23
296,2.82,25
297,2.27,32
298,2.79,25
299,3.0,19
300,2.76,26
301,1.9,35
302,2.6,17
303,2.92,23
304,2.97,21
305,0.88,42
306,1.71,35
307,2.99,20
308,2.91,23
309,2.54,22
310,1.57,38
311,2.09,32
312,-1.34,49
313,1.71,37
314,2.97,21
315,2.65,28
316,2.88,24
317,2.69,27
318,2.77,26
319,2.99,20
320,2.68,27
321,2.95,22
322,2.6,17
323,2.99,20
324,2.55,22
325,2.78,26
326,2.67,28
327,2.6,17
328,2.61,28
329,2.99,20
330,-2.11,54
331,-11.11,72
332,2.72,27
333,2.95,22
334,2.6,17
335,2.99,20
336,2.91,23
337,0.25,42
338,2.3,27
339,2.71,27
340,2.7,27
341,2.94,22
342,-5.51,63
343,2.94,22
344,2.68,27
345,3.0,19
346,2.2,18
347,3.0,19
348,2.99,20
349,2.99,20
350,2.2,17
351,2.95,22
352,2.97,21
353,2.88,24
354,3.0,19
355,2.99,20
356,2.76,26
357,2.32,32
358,2.79,26
359,-4.06,55
360,2.72,27
361,2.99,20
362,2.94,22
363,1.8,11
364,2.64,28
365,2.97,21
366,2.99,20
367,2.6,18
368,2.62,28
369,-0.23,21
370,2.6,15
371,2.6,17
372,2.34,32
373,2.99,20
374,2.72,27
375,2.88,24
376,2.5,23
377,2.79,26
378,3.0,19
379,-2.74,53
380,3.0,18
381,2.52,30
382,2.69,27
383,-0.32,46
384,2.66,28
385,2.49,30
386,3.0,18
387,2.97,21
388,2.88,24
389,2.6,15
390,2.2,14
391,3.0,17
392,2.97,21
393,3.0,19
394,2.92,23
395,2.88,24
396,2.95,22
397,2.6,19
398,2.6,16
399,2.6,17
400,2.6,28
401,3.0,19
402,2.99,20
403,2.48,24
404,2.25,31
405,2.6,16
406,3.0,19
407,-1.75,53
408,2.99,20
409,2.87,24
410,2.2,19
411,2.79,26
412,-9.79,71
413,2.92,23
414,2.99,20
415,2.95,22
416,2.55,29
417,2.37,31
418,1.87,35
419,2.99,20
420,2.1,34
421,3.0,19
422,2.84,25
423,2.92,23
424,2.99,20
425,2.88,24
426,3.0,19
427,2.67,28
428,2.92,23
429,2.6,19
430,2.91,23
431,2.84,25
432,2.54,22
433,2.97,21
434,2.82,25
435,2.77,26
436,2.43,30
437,2.99,20
438,2.99,20
439,3.0,19
440,2.28,32
441,2.99,20
442,2.95,22
443,3.0,18
444,2.97,21
445,2.97,21
446,2.88,24
447,2.83,25
448,2.91,23
449,2.97,21
450,3.0,19
451,1.96,31
452,2.97,21
453,2.92,23
454,2.48,24
455,2.94,22
456,2.6,17
457,2.6,17
458,3.0,19
459,2.88,24
460,-8.18,70
461,2.57,21
462,0.68,42
463,2.92,23
464,2.88,24
465,2.6,14
466,2.97,21
467,2.99,20
468,2.86,24
469,2.71,27
470,2.22,31
471,2.58,29
472,2.55,22
473,2.13,33
474,2.84,25
475,2.97,21
476,2.83,25
477,3.0,18
478,2.6,15
479,2.6,16
480,2.39,26
481,1.4,38
482,2.92,23
483,3.0,18
484,2.99,20
485,-4.75,62
486,2.44,30
487,2.94,22
488,2.57,21
489,2.79,26
490,2.59,20
491,3.0,19
492,2.99,20
493,3.0,19
494,3.0,18
495,2.83,25
496,2.92,23
497,2.88,24
498,2.95,22
499,2.97,21
500,3.0,19
501,2.91,23
502,-2.51,54
503,-29.82,100
504,2.6,16
505,2.99,20
506,3.0,19
507,2.95,22
508,2.59,20
509,2.99,20
510,2.88,24
511,2.88,24
512,2.91,23
513,2.59,20
514,1.24,40
515,2.95,22
516,2.2,11
517,2.12,23
518,2.6,18
519,2.92,23
520,2.23,33
521,2.87,24
522,2.28,27
523,2.97,21
524,2.95,22
525,2.2,12
526,2.99,20
527,2.82,25
528,2.03,25
529,2.86,24
530,2.6,15
531,2.91,23
532,2.6,17
533,2.2,15
534,3.0,19
535,2.97,21
536,3.0,18
537,3.0,19
538,1.8,13
539,2.2,16
540,2.97,21
541,2.59,20
542,2.92,23
543,3.0,19
544,2.91,23
545,1.88,35
546,2.6,17
547,3.0,19
548,2.84,25
549,2.82,25
550,3.0,19
551,2.99,20
552,1.79,20
553,2.97,21
554,3.0,18
555,2.94,22
556,2.95,22
557,-4.93,61
558,2.99,20
559,-0.37,43
560,2.6,17
561,2.62,28
562,2.45,30
563,2.97,21
564,2.97,21
565,2.99,20
566,3.0,18
567,2.99,20
568,3.0,19
569,2.94,22
570,2.52,23
571,2.99,20
572,3.0,19
573,2.86,24
574,2.97,21
575,2.23,33
576,2.6,19
577,2.87,24
578,2.97,21
579,2.95,22
580,2.97,21
581,2.55,22
582,3.0,19
583,3.0,19
584,2.97,21
585,2.97,21
586,3.0,18
587,2.6,15
588,2.51,23
589,2.82,25
590,3.0,18
591,2.6,18
592,2.86,24
593,2.6,16
594,2.99,20
595,2.65,28
596,2.72,26
597,2.99,20
598,2.6,15
599,1.68,36
