,recom,times
0,-0.75,24
1,-0.64,28
2,-5.71,54
3,-0.6,18
4,-0.6,12
5,-0.6,16
6,-1.0,9
7,-1.0,10
8,-2.6,39
9,-1.0,6
10,-0.6,19
11,-1.0,4
12,-0.61,20
13,-12.6,68
14,-1.06,22
15,-1.0,10
16,-1.0,8
17,-0.6,15
18,-7.2,60
19,-1.07,48
20,-1.0,10
21,-0.6,14
22,-0.6,11
23,-0.92,37
24,-1.0,16
25,-1.0,16
26,-1.0,8
27,-8.46,67
28,-12.1,74
29,-0.41,25
30,-1.0,12
31,-8.97,69
32,-0.01,25
33,-0.26,22
34,-3.07,54
35,-0.62,47
36,-0.6,14
37,-1.0,5
38,-1.0,4
39,-1.32,39
40,-1.0,8
41,-1.95,40
42,-4.72,60
43,1.3,38
44,-1.0,14
45,-0.21,20
46,0.1,44
47,0.06,24
48,-0.6,19
49,-1.0,11
50,-1.0,5
51,-2.03,52
52,-0.75,29
53,-0.51,46
54,-0.52,31
55,-1.83,39
56,-0.89,47
57,0.64,42
58,0.16,44
59,-0.6,8
60,-2.26,52
61,0.2,17
62,-5.83,58
63,1.29,38
64,-2.48,53
65,-0.92,49
66,-0.6,15
67,0.69,42
68,-1.0,7
69,-1.47,50
70,-1.56,51
71,0.2,43
72,-0.3,23
73,0.43,43
74,-5.78,62
75,-1.14,48
76,-0.37,44
77,-3.79,51
78,-2.41,54
79,-0.2,13
80,-0.09,45
81,-0.67,38
82,-2.36,52
83,2.6,28
84,-0.2,12
85,0.92,38
86,0.17,44
87,0.98,39
88,-1.0,12
89,1.28,38
90,0.08,24
91,-0.4,47
92,2.08,33
93,-0.82,47
94,1.93,34
95,0.5,42
96,2.41,31
97,1.79,35
98,0.67,40
99,2.33,31
100,-0.07,45
101,1.31,38
102,1.79,35
103,-1.0,14
104,-1.91,53
105,0.97,40
106,0.92,40
107,2.2,32
108,-2.17,52
109,2.26,32
110,2.17,21
111,-1.61,51
112,0.6,42
113,2.23,32
114,2.79,25
115,0.67,42
116,2.88,24
117,2.7,27
118,0.07,42
119,1.64,37
120,2.64,27
121,-0.6,9
122,2.08,24
123,0.49,42
124,1.59,37
125,2.06,34
126,2.87,24
127,2.67,27
128,2.12,29
129,2.87,24
130,2.52,23
131,-2.49,52
132,1.22,38
133,2.22,31
134,-6.91,64
135,2.03,34
136,2.88,24
137,-1.11,37
138,2.73,26
139,2.37,30
140,2.81,25
141,2.97,21
142,-0.62,47
143,2.32,32
144,2.31,31
145,0.1,44
146,1.82,31
147,2.54,22
148,1.63,36
149,2.97,21
150,2.97,21
151,2.14,22
152,2.97,21
153,2.2,18
154,2.97,21
155,2.71,27
156,2.92,23
157,3.0,19
158,0.2,19
159,-2.53,53
160,1.33,39
161,2.58,29
162,2.6,28
163,2.44,30
164,2.37,31
165,1.94,30
166,-2.2,53
167,2.88,24
168,-9.32,69
169,2.94,22
170,0.2,13
171,2.99,20
172,2.97,21
173,2.29,32
174,2.77,26
175,2.6,16
176,2.78,26
177,2.14,33
178,2.84,25
179,2.33,31
180,2.62,28
181,3.0,19
182,3.0,19
183,2.59,29
184,2.35,32
185,2.85,24
186,2.77,26
187,2.88,24
188,2.49,30
189,2.99,20
190,2.76,26
191,2.77,26
192,2.99,20
193,2.94,22
194,2.97,21
195,2.09,29
196,2.84,25
197,2.82,25
198,-1.48,51
199,2.94,22
200,2.6,17
201,2.87,24
202,-0.6,7
203,2.87,24
204,2.92,23
205,3.0,18
206,2.55,29
207,2.58,29
208,1.66,36
209,2.52,23
210,2.85,24
211,2.42,31
212,-2.71,54
213,2.77,26
214,2.91,23
215,2.17,33
216,2.49,30
217,2.48,30
218,2.79,26
219,3.0,19
220,0.7,42
