,recom,times
0,-0.75,16
1,2.3,75
2,-1.06,6
3,-1.2,20
4,-0.7800000000000001,19
5,-1.13,13
6,2.079999999999999,97
7,1.8699999999999997,77
8,2.32,73
9,2.3899999999999997,66
10,2.8099999999999996,24
11,2.8499999999999996,20
12,2.63,42
13,2.78,27
14,2.59,46
15,2.6599999999999993,39
16,2.8499999999999996,20
17,2.33,31
18,2.79,26
19,2.46,59
20,2.8,25
21,2.82,23
22,2.84,21
23,2.8499999999999996,20
24,2.39,25
25,2.6399999999999997,41
26,2.3499999999999996,70
27,2.8,25
28,2.38,26
29,2.1,13
30,2.2399999999999998,40
31,2.6099999999999994,44
32,2.8299999999999996,22
33,2.55,50
34,2.74,31
35,2.4299999999999993,62
36,2.5999999999999996,45
37,1.7499999999999998,48
38,2.1799999999999997,87
39,2.87,18
40,2.81,24
41,2.1799999999999997,87
42,2.8499999999999996,20
43,1.4999999999999991,155
44,2.8099999999999996,24
45,2.6399999999999997,41
46,2.82,23
47,2.85,20
48,2.83,22
49,2.8499999999999996,20
50,2.67,38
51,2.4299999999999997,21
52,2.44,20
53,2.76,29
54,2.3699999999999997,68
55,2.5,55
56,2.8299999999999996,22
57,2.56,49
58,2.13,51
59,2.6399999999999997,41
60,2.3,34
61,2.79,26
62,2.84,21
63,2.77,28
64,2.79,26
65,2.48,16
66,2.34,30
67,2.4699999999999998,17
68,2.73,32
69,2.53,52
70,2.8699999999999997,18
71,2.8299999999999996,22
72,2.6899999999999995,36
73,2.4899999999999998,15
74,2.04,19
75,2.82,23
76,2.84,21
77,2.3099999999999996,33
78,1.81,23
79,2.88,17
80,2.86,19
81,2.6899999999999995,36
82,2.74,31
83,2.43,21
84,2.8599999999999994,19
85,2.82,23
86,-2.5199999999999902,251
87,-2.5199999999999902,251
88,-2.5199999999999902,251
